# experiment with no light source, two bars of 80/20, spaced 400mm apart
# trial (each trial lasted 8 minutes), displacement(mm), last column is average
0, -11
1, -134
2, -95
3, -259
4, 247
5, -77
6, -10
7, 587
8, -267
9, -198
10, 263
11, 48
12, 259
13, 208
14, -30
15, -159
16, -149
17, -42
18, -108
19, 117
0, 9
