# step, ring_center (x), ring_center (y)
0, 0, 0
1, -1, -5
2, 8, -12
3, 17, -1
4, 19, 6
5, 22, 1
6, 27, 16
7, 41, 0
8, 52, 4
9, 60, -9
10, 46, 7
11, 64, 1
12, 78, -12
13, 71, -24
14, 73, -27
15, 78, -26
16, 66, -22
17, 73, -17
18, 76, -11
19, 68, 1
20, 68, 12
21, 76, 9
22, 73, 10
23, 61, 4
24, 78, 5
25, 81, -1
26, 101, 15
27, 110, 10
28, 100, 3
29, 104, 17
30, 105, 13
31, 105, 17
32, 97, 20
33, 97, 18
34, 98, 9
35, 105, 8
36, 110, 9
37, 115, 5
38, 126, 7
39, 108, 12
40, 103, 0
41, 104, -1
42, 95, -2
43, 104, 12
44, 95, 6
45, 92, 3
46, 92, 4
47, 105, -2
48, 100, 4
49, 87, -7
50, 80, -11
51, 80, -25
52, 68, -29
53, 76, -7
54, 84, -17
55, 84, -28
56, 73, -29
57, 63, -18
58, 55, -7
59, 38, -6
60, 28, -8
61, 43, -14
62, 29, -26
63, 27, -40
64, 29, -36
65, 21, -28
66, 13, 13
67, 16, 25
68, 17, 23
69, 14, 25
70, -5, 38
71, -35, 36
72, -34, 40
73, -33, 41
74, -35, 56
75, -39, 50
76, -69, 61
77, -65, 55
78, -68, 74
79, -78, 82
80, -60, 94
81, -70, 85
82, -63, 73
83, -62, 73
84, -71, 58
85, -66, 69
86, -66, 81
87, -54, 82
88, -32, 81
89, -49, 90
90, -60, 60
91, -73, 59
92, -77, 53
93, -80, 58
94, -81, 40
95, -96, 48
96, -104, 51
97, -113, 41
98, -87, 23
99, -90, 29
100, -92, 23
101, -95, 13
102, -100, 21
103, -95, 21
104, -105, 12
105, -103, 10
106, -105, 20
107, -99, 34
108, -121, 33
109, -123, 41
110, -122, 23
111, -106, 20
112, -118, 30
113, -128, 43
114, -135, 37
115, -151, 29
116, -145, 40
117, -135, 44
118, -130, 49
119, -132, 63
120, -112, 77
121, -136, 58
122, -146, 62
123, -152, 51
124, -137, 55
125, -120, 54
126, -100, 51
127, -100, 56
128, -107, 71
129, -121, 65
130, -123, 62
131, -125, 43
132, -135, 60
133, -139, 71
134, -131, 69
135, -130, 80
136, -121, 72
137, -135, 68
138, -133, 79
139, -142, 68
140, -152, 45
141, -159, 50
142, -171, 46
143, -172, 42
144, -157, 38
145, -163, 39
146, -179, 49
147, -190, 47
148, -196, 45
149, -188, 59
150, -182, 64
151, -201, 54
152, -210, 52
153, -213, 52
154, -198, 49
155, -201, 50
156, -186, 36
157, -197, 30
158, -171, 15
159, -196, 8
160, -203, 0
