# step, ring_center (x), ring_center (y)
0, 0, 0
1, 16, -4
2, 24, -5
3, 11, -3
4, 18, -3
5, 28, -1
6, 50, 8
7, 62, 9
8, 52, 28
9, 63, 39
10, 76, 38
11, 82, 25
12, 78, 37
13, 68, 37
14, 67, 39
15, 69, 52
16, 75, 52
17, 69, 56
18, 80, 54
19, 79, 60
20, 69, 58
21, 61, 71
22, 86, 69
23, 87, 78
24, 70, 71
25, 63, 75
26, 78, 62
27, 76, 68
28, 91, 56
29, 100, 46
30, 78, 34
31, 74, 34
32, 70, 31
33, 86, 31
34, 87, 58
35, 86, 61
36, 90, 70
37, 89, 72
38, 108, 77
39, 95, 91
40, 98, 96
41, 105, 102
42, 94, 100
43, 91, 112
44, 97, 118
45, 97, 110
46, 86, 114
47, 94, 107
48, 77, 105
49, 75, 112
50, 68, 110
51, 46, 151
52, 44, 152
53, 39, 142
54, 42, 138
55, 34, 124
56, 24, 126
57, 9, 122
58, 0, 122
59, 0, 125
60, -2, 125
61, 17, 132
62, 1, 118
63, 2, 124
64, 2, 135
65, 11, 148
66, -5, 139
67, -18, 144
68, -22, 142
69, -24, 144
70, -21, 151
71, -19, 152
72, -11, 163
73, -20, 163
74, -17, 162
75, -24, 171
76, -27, 176
77, 9, 179
78, 6, 185
79, 27, 198
80, 18, 194
81, 7, 172
82, 28, 195
83, 35, 194
84, 47, 188
85, 36, 197
86, 34, 188
87, 51, 189
88, 49, 203
89, 63, 199
90, 85, 213
91, 88, 196
92, 72, 190
93, 70, 193
94, 73, 204
95, 41, 212
96, 59, 212
97, 43, 234
98, 46, 235
99, 57, 232
100, 50, 216
101, 37, 218
102, 33, 219
103, 42, 211
104, 36, 226
105, 35, 248
106, 20, 230
107, 27, 242
108, 38, 230
109, 24, 259
110, 17, 254
111, 17, 247
112, 29, 255
113, 49, 273
114, 60, 270
115, 38, 275
116, 36, 266
117, 14, 261
118, 5, 262
119, -5, 267
120, -3, 274
121, -16, 273
122, -18, 280
123, -7, 282
124, -11, 269
125, -5, 265
126, 5, 281
127, -1, 263
128, -17, 278
129, 1, 262
130, -18, 281
131, -9, 280
132, -2, 275
133, -3, 280
134, -10, 302
135, -12, 299
136, -15, 317
137, -11, 326
138, -34, 337
139, -13, 325
140, -22, 324
141, -39, 336
142, -50, 323
143, -40, 323
144, -42, 317
145, -58, 308
146, -56, 300
147, -48, 300
148, -53, 303
149, -69, 314
150, -73, 310
151, -75, 314
152, -66, 307
153, -56, 313
154, -52, 318
155, -71, 333
156, -88, 319
157, -67, 322
158, -71, 317
159, -56, 324
160, -56, 317
