# step, ring_center (x), ring_center (y)
0, 0, 0
1, 9, -17
2, 16, -27
3, 24, -17
4, 6, -21
5, 24, -23
6, 31, -35
7, 33, -31
8, 41, -48
9, 35, -39
10, 18, -40
11, 10, -36
12, 6, -37
13, 29, -35
14, 34, -17
15, 39, -18
16, 41, -19
17, 51, -27
18, 54, -23
19, 56, 2
20, 37, -16
21, 44, -37
22, 47, -16
23, 37, -19
24, 36, -16
25, 41, -21
26, 38, -24
27, 41, -1
28, 35, -13
29, 34, -2
30, 27, -4
31, 10, -27
32, 11, -32
33, 44, -42
34, 43, -44
35, 42, -43
36, 58, -43
37, 45, -49
38, 26, -62
39, 52, -43
40, 43, -46
41, 40, -38
42, 53, -49
43, 43, -26
44, 42, -41
45, 27, -25
46, 42, -33
47, 60, -31
48, 61, -22
49, 73, -18
50, 79, -20
51, 64, -5
52, 73, 12
53, 93, -1
54, 88, 2
55, 97, 9
56, 80, 22
57, 70, 36
58, 82, 52
59, 48, 46
60, 61, 55
61, 83, 54
62, 67, 58
63, 72, 51
64, 57, 59
65, 58, 44
66, 54, 47
67, 62, 44
68, 64, 10
69, 69, 12
70, 69, 19
71, 78, 25
72, 85, 15
73, 100, 43
74, 99, 21
75, 91, 30
76, 92, 41
77, 88, 24
78, 86, 45
79, 75, 61
80, 90, 58
81, 92, 62
82, 90, 74
83, 88, 75
84, 75, 61
85, 75, 59
86, 71, 69
87, 68, 87
88, 76, 99
89, 70, 92
90, 77, 89
91, 94, 92
92, 114, 90
93, 118, 91
94, 137, 84
95, 143, 91
96, 149, 103
97, 141, 106
98, 155, 115
99, 149, 121
100, 142, 131
101, 155, 103
102, 143, 128
103, 137, 127
104, 146, 129
105, 144, 137
106, 146, 124
107, 156, 114
108, 159, 95
109, 168, 106
110, 200, 107
111, 209, 97
112, 203, 101
113, 201, 100
114, 208, 105
115, 203, 110
116, 225, 106
117, 212, 94
118, 238, 91
119, 235, 105
120, 249, 97
121, 225, 109
122, 223, 111
123, 223, 114
124, 230, 119
125, 224, 119
126, 232, 122
127, 221, 127
128, 225, 119
129, 220, 146
130, 222, 138
131, 230, 127
132, 237, 125
133, 223, 128
134, 228, 139
135, 238, 148
136, 236, 133
137, 227, 123
138, 241, 142
139, 228, 151
140, 219, 153
141, 227, 160
142, 218, 172
143, 212, 186
144, 207, 182
145, 221, 189
146, 234, 175
147, 233, 171
148, 247, 153
149, 252, 162
150, 250, 155
151, 263, 159
152, 273, 163
153, 260, 168
154, 257, 165
155, 263, 172
156, 259, 177
157, 257, 169
158, 223, 174
159, 205, 187
160, 211, 186
