# step, ring_center (x), ring_center (y)
0, 0, 0
1, 18, 5
2, 8, -12
3, 23, 1
4, 21, 9
5, 18, 16
6, 17, 13
7, 29, 14
8, 21, 12
9, 33, 19
10, 42, 8
11, 66, 41
12, 67, 57
13, 76, 60
14, 83, 61
15, 84, 60
16, 86, 60
17, 113, 76
18, 106, 80
19, 104, 85
20, 112, 101
21, 119, 93
22, 116, 94
23, 127, 91
24, 129, 89
25, 146, 78
26, 137, 80
27, 148, 93
28, 136, 98
29, 131, 97
30, 131, 100
31, 136, 106
32, 137, 109
33, 139, 118
34, 138, 135
35, 139, 125
36, 146, 130
37, 155, 129
38, 141, 132
39, 120, 138
40, 136, 153
41, 124, 144
42, 127, 153
43, 132, 146
44, 134, 150
45, 126, 143
46, 124, 142
47, 108, 143
48, 92, 149
49, 86, 148
50, 94, 152
51, 78, 156
52, 85, 153
53, 67, 170
54, 79, 174
55, 71, 191
56, 94, 208
57, 81, 198
58, 87, 226
59, 87, 235
60, 77, 253
61, 76, 270
62, 95, 260
63, 92, 270
64, 79, 274
65, 78, 265
66, 74, 277
67, 60, 266
68, 40, 256
69, 41, 266
70, 41, 279
71, 22, 280
72, 33, 278
73, 13, 280
74, 37, 291
75, 37, 277
76, 30, 282
77, 38, 275
78, 46, 282
79, 31, 281
80, 32, 285
81, 19, 292
82, 13, 296
83, 24, 283
84, 41, 296
85, 47, 282
86, 62, 281
87, 56, 286
88, 37, 296
89, 39, 296
90, 38, 294
91, 39, 309
92, 58, 307
93, 36, 316
94, 45, 312
95, 50, 321
96, 50, 330
97, 56, 323
98, 68, 319
99, 67, 323
100, 64, 326
101, 49, 327
102, 40, 328
103, 54, 334
104, 42, 319
105, 42, 326
106, 49, 319
107, 40, 334
108, 34, 325
109, 17, 324
110, 20, 341
111, 12, 343
112, 2, 337
113, 10, 341
114, -1, 345
115, -1, 341
116, 8, 341
117, -3, 346
118, 1, 350
119, 0, 352
120, 0, 363
121, 24, 354
122, 33, 356
123, 19, 355
124, 22, 365
125, 25, 392
126, 17, 384
127, 20, 380
128, 33, 391
129, 36, 409
130, 38, 411
131, 34, 416
132, 38, 414
133, 40, 407
134, 25, 406
135, 17, 407
136, 17, 404
137, 35, 406
138, 31, 405
139, 33, 389
140, 34, 385
141, 29, 394
142, 38, 387
143, 41, 384
144, 43, 398
145, 41, 409
146, 64, 400
147, 43, 402
148, 52, 392
149, 32, 395
150, 38, 401
151, 43, 385
152, 34, 389
153, 27, 411
154, 36, 401
155, 33, 406
156, 21, 421
157, 7, 412
158, -7, 446
159, 0, 443
160, 16, 434
