# step, ring_center (x), ring_center (y)
0, 0, 0
1, 23, -15
2, 28, -32
3, 23, -40
4, 18, -48
5, 8, -37
6, 11, -25
7, 20, -37
8, 13, -46
9, 28, -29
10, 22, -21
11, 10, -19
12, 14, 2
13, 11, -5
14, 5, -15
15, 1, -8
16, -14, -26
17, -35, -24
18, -34, -21
19, -35, -15
20, -37, -12
21, -40, -13
22, -50, -4
23, -50, -4
24, -43, -17
25, -35, -12
26, -34, -9
27, -21, -17
28, -22, -27
29, -4, -13
30, -11, -18
31, -2, 5
32, 6, 2
33, 2, 7
34, 4, 14
35, -15, 22
36, -18, 31
37, -32, 59
38, -42, 64
39, -55, 63
40, -53, 57
41, -46, 49
42, -35, 57
43, -52, 59
44, -52, 73
45, -69, 79
46, -77, 87
47, -81, 77
48, -74, 85
49, -66, 96
50, -77, 88
51, -61, 78
52, -59, 90
53, -71, 81
54, -61, 89
55, -59, 100
56, -66, 104
57, -52, 99
58, -50, 114
59, -62, 121
60, -62, 118
61, -51, 119
62, -63, 125
63, -83, 122
64, -81, 131
65, -93, 151
66, -110, 143
67, -114, 159
68, -129, 159
69, -129, 152
70, -137, 140
71, -144, 141
72, -147, 141
73, -138, 150
74, -150, 171
75, -160, 164
76, -146, 168
77, -149, 153
78, -148, 158
79, -148, 148
80, -152, 148
81, -151, 143
82, -154, 138
83, -159, 127
84, -155, 161
85, -136, 187
86, -123, 168
87, -120, 186
88, -129, 194
89, -126, 195
90, -127, 204
91, -126, 210
92, -148, 203
93, -161, 223
94, -157, 221
95, -152, 241
96, -139, 247
97, -129, 260
98, -159, 263
99, -164, 264
100, -167, 276
101, -167, 273
102, -153, 272
103, -162, 281
104, -143, 294
105, -156, 280
106, -168, 303
107, -149, 288
108, -132, 282
109, -130, 292
110, -137, 278
111, -121, 270
112, -118, 259
113, -118, 263
114, -125, 274
115, -102, 263
116, -109, 261
117, -105, 254
118, -77, 250
119, -69, 253
120, -63, 229
121, -46, 224
122, -63, 225
123, -54, 207
124, -88, 203
125, -62, 199
126, -61, 194
127, -69, 197
128, -61, 221
129, -68, 244
130, -87, 221
131, -77, 243
132, -82, 243
133, -72, 214
134, -101, 241
135, -91, 233
136, -95, 238
137, -95, 239
138, -86, 234
139, -84, 249
140, -67, 225
141, -49, 216
142, -38, 227
143, -51, 216
144, -48, 207
145, -26, 198
146, -26, 195
147, -34, 156
148, -15, 175
149, -2, 175
150, -13, 187
151, 3, 202
152, 14, 195
153, 1, 195
154, 12, 199
155, 15, 202
156, 1, 197
157, 4, 192
158, 21, 193
159, 29, 185
160, 46, 190
