# step, ring_center (x), ring_center (y)
0, 0, 0
1, 17, -4
2, 15, -2
3, 19, -3
4, 17, -14
5, 22, -22
6, 28, -26
7, 31, -27
8, 35, -30
9, 31, -13
10, 26, -8
11, 29, 23
12, 41, 29
13, 50, 12
14, 51, 8
15, 66, 6
16, 81, 31
17, 76, 20
18, 97, 24
19, 90, 38
20, 87, 37
21, 79, 44
22, 82, 41
23, 81, 41
24, 83, 45
25, 69, 63
26, 78, 67
27, 82, 69
28, 102, 66
29, 108, 84
30, 97, 87
31, 102, 93
32, 110, 98
33, 94, 69
34, 107, 85
35, 108, 83
36, 84, 101
37, 87, 126
38, 88, 120
39, 80, 123
40, 67, 127
41, 70, 123
42, 60, 127
43, 55, 118
44, 95, 114
45, 89, 124
46, 78, 114
47, 75, 112
48, 58, 127
49, 65, 116
50, 61, 121
51, 52, 120
52, 35, 122
53, 66, 129
54, 68, 121
55, 72, 109
56, 64, 119
57, 80, 119
58, 67, 139
59, 48, 124
60, 40, 142
61, 45, 156
62, 35, 162
63, 45, 150
64, 36, 151
65, 46, 160
66, 69, 149
67, 67, 160
68, 71, 159
69, 80, 152
70, 63, 149
71, 71, 128
72, 65, 113
73, 78, 110
74, 85, 101
75, 77, 114
76, 64, 124
77, 46, 141
78, 28, 122
79, 50, 110
80, 40, 109
81, 31, 104
82, 46, 116
83, 50, 115
84, 53, 98
85, 71, 96
86, 68, 108
87, 64, 93
88, 61, 81
89, 46, 69
90, 47, 76
91, 34, 93
92, 48, 73
93, 60, 63
94, 54, 68
95, 52, 75
96, 60, 82
97, 64, 80
98, 56, 90
99, 57, 91
100, 69, 82
101, 64, 80
102, 64, 69
103, 55, 65
104, 49, 58
105, 49, 53
106, 62, 56
107, 58, 69
108, 41, 52
109, 59, 44
110, 77, 51
111, 74, 63
112, 74, 69
113, 81, 85
114, 64, 76
115, 67, 81
116, 51, 50
117, 41, 59
118, 15, 46
119, 34, 38
120, 61, 45
121, 48, 53
122, 49, 53
123, 56, 54
124, 64, 49
125, 38, 47
126, 58, 32
127, 69, 31
128, 67, 29
129, 76, 32
130, 98, 11
131, 112, 10
132, 123, 20
133, 124, 21
134, 102, -2
135, 117, 0
136, 104, -10
137, 102, 4
138, 94, 9
139, 84, 13
140, 65, 8
141, 69, 2
142, 75, 6
143, 78, 21
144, 69, 45
145, 76, 36
146, 72, 38
147, 82, 54
148, 79, 36
149, 86, 36
150, 92, 32
151, 106, 16
152, 86, 24
153, 94, 50
154, 104, 37
155, 105, 32
156, 104, 30
157, 86, 43
158, 75, 56
159, 81, 58
160, 93, 32
