# step, ring_center (x), ring_center (y)
0, 0, 0
1, 5, 2
2, 29, -22
3, 30, -4
4, 41, 0
5, 26, 0
6, 38, -1
7, 35, -7
8, 39, 4
9, 40, 7
10, 52, 5
11, 41, 0
12, 23, -23
13, 24, -30
14, 10, -22
15, 22, -16
16, 23, -35
17, 23, -13
18, 21, 5
19, 28, 6
20, 48, 3
21, 43, -6
22, 43, -3
23, 60, -24
24, 37, -12
25, 53, -11
26, 37, -15
27, 43, -24
28, 59, -21
29, 24, -30
30, 25, -11
31, 2, -16
32, 30, -17
33, 13, -21
34, 33, -20
35, 37, -24
36, 31, -22
37, 41, -26
38, 34, -22
39, 34, -20
40, 29, -24
41, 30, -44
42, 46, -34
43, 46, -39
44, 49, -33
45, 50, -35
46, 59, -41
47, 51, -33
48, 55, -32
49, 74, -19
50, 67, -9
51, 61, 12
52, 71, 8
53, 65, 4
54, 82, -4
55, 98, -25
56, 94, -16
57, 103, -27
58, 101, -43
59, 105, -36
60, 80, -43
61, 101, -41
62, 110, -26
63, 75, -25
64, 64, -32
65, 52, -18
66, 56, -34
67, 62, -28
68, 68, -52
69, 75, -68
70, 79, -63
71, 93, -46
72, 98, -42
73, 99, -51
74, 82, -38
75, 79, -31
76, 92, -30
77, 74, -18
78, 77, -19
79, 87, 1
80, 95, -7
81, 86, -21
82, 80, -15
83, 85, -14
84, 81, -12
85, 53, 25
86, 41, 14
87, 34, 30
88, 44, 20
89, 21, 37
90, 26, 40
91, 31, 39
92, 56, 46
93, 65, 42
94, 57, 45
95, 64, 51
96, 58, 44
97, 61, 52
98, 64, 42
99, 71, 46
100, 77, 54
101, 73, 53
102, 76, 54
103, 77, 59
104, 87, 67
105, 84, 51
106, 91, 58
107, 99, 51
108, 98, 53
109, 79, 54
110, 95, 64
111, 97, 89
112, 95, 83
113, 80, 106
114, 90, 108
115, 104, 117
116, 126, 113
117, 129, 117
118, 137, 106
119, 125, 117
120, 121, 111
121, 126, 89
122, 136, 91
123, 135, 90
124, 117, 83
125, 120, 76
126, 125, 68
127, 152, 61
128, 132, 52
129, 138, 43
130, 135, 44
131, 153, 47
132, 150, 88
133, 131, 67
134, 139, 68
135, 144, 74
136, 142, 64
137, 119, 53
138, 126, 59
139, 120, 78
140, 140, 95
141, 118, 86
142, 120, 99
143, 121, 95
144, 129, 102
145, 131, 98
146, 138, 101
147, 132, 105
148, 129, 105
149, 112, 106
150, 108, 110
151, 98, 120
152, 105, 113
153, 103, 107
154, 105, 114
155, 100, 130
156, 95, 118
157, 92, 140
158, 79, 141
159, 82, 151
160, 94, 142
