Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,0,0.01515,0,0,0,0.033918,1.0837E-05,0,0,5.1389E-06,0,1.0786E-05,0,0,0,0,0,0,package://simulation_assembly/meshes/base_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://simulation_assembly/meshes/base_link.STL,,simulation_body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm_left,0.02234,0,0.01515,0,0,0,0.0039735,0.0005233,0,-5.7973E-23,1.2406E-06,-1.906E-24,9.3957E-07,0,0,0,0,0,0,package://simulation_assembly/meshes/arm_left.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://simulation_assembly/meshes/arm_left.STL,,simulation_arm-3,Origin_servo_left2,Axis_servo_left2,servo_left,continuous,-0.0015,0.0212,0.001,0,0,0,base_link,0,0,1,,,,,,,,,,,,
arm_right,0.02234,0,0.01515,0,0,0,0.0039735,3.0696E-07,3.9705E-23,1.688E-22,1.2406E-06,1.6997E-23,9.3957E-07,0,0,0,0,0,0,package://simulation_assembly/meshes/arm_right.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://simulation_assembly/meshes/arm_right.STL,,simulation_arm-4,Origin_servo_rigth2,Axis_servo_rigth2,servo_rigth,revolute,-0.0015,-0.0212,0.001,0,0,0,base_link,0,0,1,0.03,6,-1.8,1.8,,,,,,,,
