# step, ring_center (x), ring_center (y)
0, 0, 0
1, -2, -4
2, 14, 18
3, 20, 24
4, 33, 29
5, 22, 31
6, 26, 56
7, 7, 46
8, -9, 45
9, 8, 46
10, 21, 49
11, 2, 65
12, 24, 41
13, 29, 54
14, 33, 50
15, 38, 66
16, 33, 79
17, 43, 57
18, 24, 74
19, 13, 88
20, 21, 84
21, 22, 83
22, 34, 85
23, 19, 84
24, 28, 104
25, 22, 101
26, 22, 102
27, 16, 101
28, -1, 111
29, 7, 106
30, -1, 104
31, -1, 99
32, -1, 98
33, -1, 102
34, 4, 126
35, -4, 114
36, -2, 132
37, 0, 134
38, -4, 131
39, -5, 133
40, -34, 145
41, -39, 155
42, -31, 151
43, -36, 148
44, -50, 166
45, -54, 151
46, -57, 146
47, -52, 161
48, -49, 162
49, -40, 170
50, -50, 167
51, -29, 178
52, -64, 179
53, -44, 189
54, -36, 168
55, -31, 165
56, -34, 169
57, -19, 166
58, -14, 176
59, -1, 166
60, -18, 160
61, -31, 167
62, -18, 177
63, 10, 171
64, 11, 181
65, 0, 182
66, -8, 176
67, -7, 158
68, -8, 173
69, -14, 159
70, -22, 154
71, -26, 151
72, -40, 144
73, -40, 159
74, -54, 149
75, -40, 152
76, -42, 134
77, -46, 120
78, -41, 107
79, -49, 98
80, -47, 105
81, -52, 98
82, -60, 104
83, -55, 98
84, -39, 112
85, -31, 101
86, -19, 111
87, -16, 102
88, -14, 105
89, -2, 115
90, -5, 116
91, -10, 101
92, -6, 87
93, 8, 89
94, 4, 74
95, 4, 68
96, 2, 71
97, 8, 68
98, -12, 62
99, 5, 51
100, 9, 65
101, 9, 41
102, 7, 58
103, 3, 57
104, 0, 50
105, -1, 52
106, 7, 55
107, -4, 52
108, 13, 39
109, 0, 24
110, -1, 26
111, 1, 27
112, 1, 29
113, -1, 16
114, 5, 13
115, -11, -14
116, -10, 1
117, -22, -7
118, -29, -10
119, -31, -30
120, -25, -46
121, -15, -44
122, -16, -52
123, -5, -28
124, -17, -28
125, -7, -26
126, -5, -28
127, 29, -32
128, 52, -19
129, 46, -40
130, 62, -47
131, 54, -47
132, 53, -24
133, 34, -28
134, 35, -25
135, 38, -14
136, 40, -4
137, 43, -3
138, 36, 7
139, 40, 34
140, 24, 17
141, 23, 24
142, 28, 22
143, 21, 21
144, 16, 23
145, 10, 22
146, 36, 34
147, 19, 28
148, 38, 45
149, 49, 22
150, 60, 25
151, 56, 36
152, 60, 45
153, 65, 33
154, 49, 31
155, 54, 17
156, 41, 16
157, 24, 10
158, 37, 18
159, 37, 19
160, 37, 26
