# step, ring_center (x), ring_center (y)
0, 0, 0
1, 14, 15
2, 8, -4
3, -17, 0
4, -4, 2
5, 11, 19
6, 6, 6
7, 12, 23
8, 32, 11
9, 23, 20
10, 33, 2
11, 49, -5
12, 19, -5
13, 27, -14
14, 23, -15
15, 12, -27
16, 10, -42
17, 21, -51
18, 20, -24
19, 33, -17
20, 54, -6
21, 54, -3
22, 41, 2
23, 52, -10
24, 61, 3
25, 42, 4
26, 56, 13
27, 69, 4
28, 57, -7
29, 59, -2
30, 50, -7
31, 45, -15
32, 37, -27
33, 36, -32
34, 30, -17
35, 32, 9
36, 42, 5
37, 62, 21
38, 43, 24
39, 43, 16
40, 47, 17
41, 26, 7
42, 14, -3
43, 27, -12
44, 22, -23
45, 9, -22
46, 0, -8
47, 0, -27
48, -6, -29
49, -3, -24
50, 0, -37
51, -3, -60
52, 22, -71
53, 18, -97
54, 35, -123
55, 43, -122
56, 52, -141
57, 61, -144
58, 55, -140
59, 64, -145
60, 61, -146
61, 55, -132
62, 34, -131
63, 48, -132
64, 37, -122
65, 61, -97
66, 67, -103
67, 54, -114
68, 57, -127
69, 58, -133
70, 58, -137
71, 68, -135
72, 65, -125
73, 58, -113
74, 50, -127
75, 63, -103
76, 38, -116
77, 36, -124
78, 50, -132
79, 59, -144
80, 64, -125
81, 42, -123
82, 45, -131
83, 46, -125
84, 44, -129
85, 41, -118
86, 35, -111
87, 55, -106
88, 43, -114
89, 62, -114
90, 41, -124
91, 39, -122
92, 36, -117
93, 54, -112
94, 63, -117
95, 62, -101
96, 61, -85
97, 46, -62
98, 44, -57
99, 51, -66
100, 51, -80
101, 59, -90
102, 48, -62
103, 51, -70
104, 42, -63
105, 53, -55
106, 62, -59
107, 68, -43
108, 45, -43
109, 53, -20
110, 55, -14
111, 22, -5
112, 20, -22
113, 20, -33
114, 35, -24
115, 11, -25
116, 20, -54
117, 16, -46
118, 7, -45
119, 15, -44
120, 23, -50
121, 42, -35
122, 36, -36
123, 38, -47
124, 4, -55
125, 6, -49
126, 24, -40
127, -2, -24
128, -3, -35
129, 3, -22
130, 2, -22
131, 13, -14
132, 8, 1
133, 25, 1
134, 24, -16
135, 55, -16
136, 55, -35
137, 35, -26
138, 35, -20
139, 15, -6
140, 28, 0
141, 20, 3
142, 12, 13
143, -7, 12
144, 10, 11
145, 7, 13
146, -3, 15
147, -21, 21
148, -41, 57
149, -58, 71
150, -54, 62
151, -39, 68
152, -34, 68
153, -35, 76
154, -53, 71
155, -46, 52
156, -27, 48
157, -11, 45
158, -16, 47
159, -5, 41
160, -8, 35
