# step, ring_center (x), ring_center (y)
0, 0, 0
1, 7, 1
2, 26, 2
3, 10, 22
4, 15, 24
5, 12, 19
6, 15, 15
7, 17, 1
8, 58, 17
9, 42, 8
10, 52, 16
11, 57, 21
12, 49, 41
13, 61, 49
14, 51, 56
15, 52, 62
16, 62, 76
17, 46, 74
18, 40, 77
19, 26, 63
20, 27, 56
21, 6, 73
22, 11, 81
23, 5, 78
24, 17, 58
25, 35, 42
26, 23, 57
27, 9, 60
28, -4, 46
29, -12, 62
30, -9, 58
31, 1, 64
32, 4, 54
33, -15, 69
34, -15, 54
35, -1, 52
36, 2, 76
37, 4, 63
38, -5, 86
39, -1, 92
40, 0, 112
41, -8, 103
42, -4, 85
43, 2, 90
44, -6, 82
45, -8, 91
46, -7, 102
47, -1, 105
48, -12, 91
49, 11, 81
50, 18, 86
51, 16, 101
52, 30, 94
53, 27, 83
54, 19, 98
55, 25, 86
56, 34, 95
57, 58, 105
58, 61, 103
59, 33, 94
60, 34, 91
61, 40, 89
62, 47, 101
63, 60, 88
64, 64, 79
65, 48, 97
66, 59, 92
67, 62, 80
68, 60, 66
69, 49, 54
70, 57, 59
71, 54, 52
72, 41, 60
73, 48, 53
74, 41, 57
75, 33, 80
76, 36, 73
77, 33, 65
78, 32, 75
79, 38, 74
80, 48, 64
81, 52, 81
82, 58, 74
83, 58, 75
84, 49, 88
85, 46, 109
86, 33, 120
87, 28, 133
88, 22, 151
89, 39, 144
90, 20, 148
91, 22, 136
92, 17, 139
93, 23, 132
94, 23, 127
95, 26, 132
96, 14, 108
97, 31, 116
98, 12, 111
99, 18, 109
100, 19, 99
101, 8, 97
102, 35, 97
103, 29, 95
104, 44, 101
105, 39, 105
106, 50, 107
107, 43, 98
108, 48, 88
109, 57, 89
110, 32, 103
111, 43, 118
112, 39, 110
113, 42, 128
114, 39, 148
115, 34, 156
116, 37, 165
117, 37, 178
118, 40, 179
119, 39, 185
120, 42, 192
121, 26, 198
122, 9, 200
123, 12, 199
124, 15, 197
125, 22, 217
126, 27, 225
127, 21, 240
128, 34, 221
129, 16, 230
130, 31, 226
131, 6, 225
132, -10, 243
133, -7, 254
134, -24, 257
135, -13, 245
136, -31, 230
137, -25, 220
138, -39, 223
139, -25, 218
140, -12, 218
141, -32, 207
142, -44, 196
143, -27, 193
144, -13, 199
145, -23, 180
146, -21, 170
147, -15, 161
148, 9, 148
149, 11, 146
150, 18, 141
151, 25, 132
152, 4, 144
153, 21, 133
154, 26, 132
155, 35, 162
156, 37, 163
157, 46, 159
158, 53, 157
159, 45, 144
160, 66, 136
