# step, ring_center (x), ring_center (y)
0, 0, 0
1, 39, 7
2, 26, -6
3, 29, -17
4, 56, 4
5, 30, 18
6, 50, 0
7, 50, 11
8, 49, 5
9, 50, 24
10, 61, 6
11, 48, 2
12, 62, 31
13, 67, 22
14, 62, 32
15, 27, 17
16, 40, 17
17, 18, 25
18, 25, 24
19, 10, 38
20, 21, 41
21, 33, 37
22, 21, 52
23, 11, 55
24, 16, 67
25, 21, 59
26, 32, 76
27, 46, 56
28, 53, 78
29, 30, 85
30, 25, 80
31, 41, 91
32, 60, 110
33, 49, 81
34, 54, 75
35, 23, 83
36, 37, 73
37, 18, 68
38, 13, 57
39, 10, 60
40, 5, 55
41, 22, 59
42, 2, 60
43, -1, 53
44, 0, 39
45, -9, 40
46, 4, 47
47, 14, 35
48, 1, 46
49, 8, 35
50, 14, 20
51, 8, 36
52, 13, 40
53, 12, 48
54, 4, 44
55, -6, 54
56, -8, 44
57, 12, 37
58, 10, 47
59, 17, 26
60, 29, 33
61, 4, 48
62, 0, 64
63, 14, 65
64, 12, 60
65, -12, 75
66, -4, 65
67, 15, 50
68, 0, 32
69, -8, 33
70, 1, 34
71, -5, 34
72, 9, 45
73, 16, 53
74, -1, 44
75, 1, 46
76, 2, 47
77, -15, 36
78, -2, 32
79, -11, 63
80, -18, 46
81, -14, 52
82, -24, 41
83, -20, 46
84, -25, 39
85, -36, 42
86, -31, 43
87, -29, 55
88, -35, 34
89, -23, 44
90, -16, 46
91, -24, 51
92, -6, 53
93, -10, 56
94, 8, 56
95, 23, 61
96, 3, 61
97, 3, 73
98, 20, 76
99, 3, 60
100, 5, 71
101, 11, 65
102, 14, 63
103, 7, 66
104, 3, 70
105, 1, 76
106, -8, 81
107, -3, 88
108, -3, 88
109, -24, 79
110, -37, 74
111, -56, 82
112, -63, 75
113, -56, 83
114, -48, 70
115, -56, 70
116, -36, 94
117, -31, 104
118, -26, 109
119, -40, 116
120, -32, 130
121, -33, 138
122, -46, 130
123, -41, 129
124, -49, 141
125, -49, 139
126, -26, 135
127, -33, 132
128, -26, 134
129, -47, 121
130, -41, 119
131, -50, 147
132, -49, 160
133, -55, 146
134, -65, 159
135, -54, 170
136, -56, 161
137, -49, 198
138, -40, 194
139, -53, 189
140, -26, 186
141, -21, 188
142, -33, 199
143, -14, 199
144, -7, 194
145, -29, 197
146, -21, 192
147, -17, 186
148, -21, 178
149, -50, 184
150, -22, 196
151, -46, 176
152, -50, 165
153, -36, 167
154, -33, 180
155, -39, 183
156, -43, 192
157, -47, 199
158, -41, 202
159, -30, 188
160, -17, 214
