# step, ring_center (x), ring_center (y)
0, 0, 0
1, 3, 5
2, 13, 9
3, 16, 11
4, 16, 14
5, 34, 20
6, 53, 28
7, 59, 35
8, 50, 46
9, 61, 39
10, 66, 31
11, 60, 25
12, 47, 21
13, 42, 42
14, 50, 45
15, 54, 48
16, 61, 31
17, 65, 29
18, 41, 15
19, 51, 18
20, 56, 10
21, 65, 7
22, 44, 9
23, 49, 24
24, 65, 28
25, 55, 29
26, 46, 32
27, 40, 34
28, 38, 23
29, 41, 32
30, 46, 42
31, 39, 52
32, 35, 48
33, 59, 34
34, 48, 39
35, 28, 52
36, 35, 45
37, 41, 50
38, 42, 71
39, 29, 80
40, 34, 87
41, 28, 88
42, 35, 95
43, 51, 96
44, 40, 104
45, 34, 93
46, 24, 86
47, 31, 87
48, 15, 101
49, 31, 109
50, 35, 112
51, 43, 119
52, 38, 128
53, 43, 131
54, 41, 124
55, 56, 138
56, 50, 133
57, 52, 121
58, 39, 122
59, 39, 117
60, 23, 100
61, 30, 107
62, 29, 104
63, 12, 85
64, 34, 87
65, 35, 85
66, 33, 74
67, 12, 80
68, -2, 76
69, -22, 74
70, -3, 62
71, 0, 63
72, 1, 65
73, -8, 53
74, -8, 46
75, -14, 50
76, -20, 54
77, -26, 44
78, -29, 38
79, -34, 38
80, -24, 23
81, 10, 3
82, 15, 31
83, -4, 37
84, 5, 19
85, -2, 34
86, -5, 30
87, -4, 19
88, 7, 24
89, 7, 24
90, 18, 42
91, 20, 31
92, 21, 40
93, 38, 44
94, 44, 32
95, 38, 15
96, 45, 27
97, 39, 26
98, 34, 43
99, 39, 49
100, 61, 50
101, 48, 51
102, 32, 57
103, 25, 76
104, 26, 70
105, 17, 81
106, 33, 73
107, 31, 76
108, 37, 84
109, 45, 80
110, 42, 85
111, 26, 55
112, 44, 64
113, 27, 70
114, 18, 47
115, 23, 42
116, 23, 38
117, 14, 26
118, 12, 22
119, 15, 33
120, 11, 30
121, -17, 20
122, -11, 48
123, -6, 63
124, -16, 56
125, 12, 57
126, 7, 63
127, 17, 70
128, 22, 65
129, 20, 63
130, 40, 69
131, 26, 59
132, 15, 63
133, 16, 61
134, 15, 58
135, 12, 61
136, 22, 78
137, 32, 75
138, 28, 78
139, 13, 79
140, -7, 62
141, -17, 66
142, -29, 61
143, -33, 54
144, -40, 68
145, -19, 64
146, -16, 53
147, -4, 48
148, 1, 56
149, -18, 70
150, -5, 74
151, 9, 85
152, -1, 84
153, -15, 109
154, -4, 105
155, -19, 103
156, -17, 92
157, -21, 106
158, -15, 104
159, -19, 87
160, -26, 93
