# step, ring_center (x), ring_center (y)
0, 0, 0
1, 23, 5
2, 20, -7
3, 2, -3
4, 0, -11
5, -14, -8
6, -11, -15
7, -23, -17
8, -18, -10
9, -14, -20
10, -25, -25
11, -5, -28
12, -11, -29
13, -18, -23
14, -30, -7
15, -28, -19
16, -22, -15
17, -11, -9
18, -30, -8
19, -29, -22
20, -20, -22
21, 2, -10
22, -8, -24
23, -8, -9
24, -14, -28
25, -9, -22
26, -8, -22
27, -12, -16
28, -25, 1
29, -45, 1
30, -42, 8
31, -34, 18
32, -20, 9
33, -8, 24
34, -9, 15
35, -19, 38
36, 1, 44
37, 6, 57
38, 0, 49
39, -6, 51
40, 8, 75
41, 28, 64
42, 22, 57
43, 33, 76
44, 48, 74
45, 51, 68
46, 60, 68
47, 61, 68
48, 32, 51
49, 57, 32
50, 46, 28
51, 33, 37
52, 26, 28
53, 0, 29
54, 0, 15
55, 3, 27
56, 0, 21
57, 10, 42
58, 9, 39
59, 0, 45
60, -2, 50
61, 1, 53
62, -2, 60
63, -3, 70
64, 13, 79
65, 13, 82
66, -1, 68
67, 27, 74
68, 19, 59
69, 7, 54
70, 7, 43
71, -1, 39
72, -12, 43
73, -20, 35
74, -22, 36
75, -25, 46
76, -26, 40
77, -26, 53
78, -16, 54
79, -29, 39
80, -26, 31
81, -34, 38
82, -38, 21
83, -51, 26
84, -48, -6
85, -43, -15
86, -45, -12
87, -32, -7
88, -12, 7
89, -1, 0
90, -10, -25
91, -7, -21
92, 3, -11
93, 14, 5
94, 10, -2
95, 20, 16
96, 28, 30
97, 11, 50
98, 5, 68
99, -8, 59
100, 5, 69
101, -1, 65
102, 14, 65
103, -8, 72
104, -17, 73
105, -16, 77
106, -29, 66
107, -12, 66
108, -3, 78
109, -13, 93
110, -14, 83
111, -12, 93
112, -5, 85
113, -9, 67
114, -31, 65
115, -21, 92
116, 6, 92
117, -1, 91
118, 17, 87
119, 11, 75
120, 28, 92
121, 16, 101
122, 35, 126
123, 34, 136
124, 48, 121
125, 41, 119
126, 31, 108
127, 32, 109
128, 15, 103
129, 13, 125
130, 9, 118
131, 3, 142
132, 0, 115
133, 19, 114
134, 33, 107
135, 34, 114
136, 34, 135
137, 53, 125
138, 37, 139
139, 69, 137
140, 60, 134
141, 63, 132
142, 60, 131
143, 49, 140
144, 44, 151
145, 63, 146
146, 55, 142
147, 53, 154
148, 29, 145
149, 54, 140
150, 51, 152
151, 62, 135
152, 57, 164
153, 53, 173
154, 41, 166
155, 23, 164
156, 29, 162
157, 19, 172
158, 24, 169
159, 36, 163
160, 15, 159
