# step, ring_center (x), ring_center (y)
0, 0, 0
1, 30, -7
2, 31, -12
3, 28, -21
4, 38, -7
5, 60, -13
6, 58, -6
7, 52, 0
8, 29, 6
9, 41, 14
10, 47, 7
11, 49, 14
12, 63, 7
13, 60, -2
14, 63, -5
15, 40, 2
16, 38, 3
17, 38, -6
18, 30, -31
19, 27, -16
20, 39, -10
21, 54, -11
22, 55, -13
23, 55, 21
24, 51, 19
25, 43, 31
26, 43, 39
27, 15, 48
28, 18, 45
29, 0, 39
30, -28, 25
31, -47, 27
32, -34, 15
33, -50, 14
34, -31, 21
35, -31, 8
36, -21, 19
37, -16, 0
38, 0, 7
39, 7, 16
40, 2, 4
41, 12, 29
42, 13, 29
43, 11, 29
44, 0, 33
45, -3, 30
46, 6, 43
47, -11, 49
48, -24, 43
49, -33, 37
50, -46, 42
51, -29, 53
52, -48, 48
53, -55, 61
54, -48, 82
55, -58, 86
56, -37, 103
57, -28, 100
58, -43, 106
59, -42, 98
60, -33, 122
61, -35, 127
62, -22, 132
63, -41, 132
64, -11, 140
65, -24, 157
66, -28, 142
67, -23, 144
68, -18, 136
69, -27, 143
70, -19, 140
71, -23, 129
72, -33, 133
73, -33, 124
74, -31, 123
75, -33, 118
76, -52, 126
77, -55, 132
78, -44, 152
79, -44, 165
80, -32, 142
81, -30, 139
82, -31, 142
83, -16, 164
84, -29, 170
85, -21, 157
86, -57, 147
87, -40, 157
88, -50, 158
89, -40, 152
90, -20, 162
91, -15, 149
92, -28, 141
93, -31, 133
94, -36, 129
95, -34, 148
96, -39, 141
97, -34, 143
98, -46, 123
99, -47, 109
100, -43, 97
101, -32, 97
102, -25, 102
103, -32, 112
104, -32, 119
105, -47, 105
106, -38, 124
107, -41, 111
108, -36, 105
109, -57, 109
110, -64, 92
111, -53, 86
112, -37, 73
113, -16, 78
114, -8, 90
115, -22, 88
116, 1, 77
117, -1, 69
118, -1, 61
119, -22, 61
120, -6, 62
121, -11, 89
122, -1, 96
123, -24, 85
124, -6, 94
125, -4, 89
126, 2, 83
127, 7, 80
128, -3, 74
129, 0, 77
130, 4, 73
131, 0, 63
132, 10, 72
133, -3, 70
134, -6, 77
135, -12, 89
136, -27, 95
137, -25, 112
138, -42, 110
139, -36, 114
140, -32, 106
141, -36, 98
142, -46, 115
143, -57, 118
144, -44, 117
145, -32, 101
146, -20, 105
147, -22, 109
148, -40, 119
149, -17, 116
150, -27, 108
151, -10, 100
152, -19, 113
153, -29, 132
154, -19, 124
155, -36, 137
156, -34, 152
157, -44, 133
158, -59, 119
159, -69, 136
160, -55, 148
