# step, ring_center (x), ring_center (y)
0, 0, 0
1, 19, 4
2, 6, 6
3, 24, 32
4, 14, 21
5, 12, 29
6, 29, 36
7, 51, 21
8, 53, 32
9, 50, 26
10, 61, 22
11, 35, 21
12, 37, 6
13, 58, -8
14, 67, -13
15, 50, -27
16, 44, -33
17, 45, -36
18, 53, -36
19, 57, -37
20, 58, -39
21, 46, -30
22, 48, -37
23, 50, -59
24, 49, -57
25, 47, -61
26, 61, -63
27, 52, -67
28, 61, -62
29, 60, -62
30, 66, -55
31, 36, -68
32, 39, -74
33, 32, -79
34, 51, -73
35, 40, -79
36, 62, -74
37, 51, -85
38, 57, -90
39, 49, -103
40, 53, -117
41, 51, -120
42, 60, -128
43, 62, -128
44, 49, -118
45, 64, -119
46, 45, -115
47, 45, -137
48, 45, -138
49, 38, -126
50, 46, -136
51, 49, -149
52, 50, -154
53, 35, -162
54, 39, -150
55, 33, -138
56, 24, -140
57, 27, -143
58, 21, -137
59, 22, -128
60, 17, -128
61, 3, -130
62, -4, -114
63, -7, -108
64, -17, -98
65, -15, -102
66, -13, -83
67, -7, -79
68, -10, -88
69, -14, -77
70, -28, -67
71, -42, -83
72, -42, -83
73, -36, -69
74, -47, -92
75, -46, -107
76, -55, -113
77, -44, -101
78, -25, -117
79, -47, -123
80, -47, -122
81, -59, -117
82, -67, -112
83, -62, -115
84, -41, -100
85, -55, -109
86, -58, -120
87, -59, -109
88, -50, -109
89, -57, -115
90, -60, -101
91, -47, -85
92, -41, -85
93, -34, -78
94, -47, -79
95, -43, -80
96, -43, -61
97, -66, -71
98, -44, -59
99, -40, -70
100, -52, -71
101, -46, -89
102, -49, -106
103, -48, -95
104, -37, -101
105, -42, -87
106, -50, -80
107, -43, -64
108, -36, -56
109, -41, -44
110, -38, -53
111, -42, -59
112, -15, -67
113, -6, -58
114, -4, -38
115, -9, -32
116, -11, -31
117, -1, -23
118, -4, -21
119, 12, -8
120, 0, -17
121, -21, -8
122, -11, -28
123, -9, -40
124, 5, -18
125, -4, -30
126, -17, -16
127, -16, -44
128, -33, -52
129, -39, -57
130, -27, -59
131, -28, -71
132, -28, -60
133, -31, -62
134, -35, -71
135, -30, -65
136, -33, -66
137, -34, -69
138, -24, -57
139, -24, -58
140, -23, -60
141, -2, -58
142, -8, -66
143, 11, -60
144, 0, -71
145, -21, -64
146, -36, -63
147, -46, -65
148, -59, -55
149, -55, -60
150, -54, -48
151, -34, -53
152, 0, -43
153, -18, -41
154, -19, -67
155, -4, -67
156, -12, -75
157, -3, -90
158, 17, -80
159, 13, -72
160, 26, -73
