# step, ring_center (x), ring_center (y)
0, 0, 0
1, -11, -8
2, 3, -20
3, -18, -7
4, -13, -12
5, -15, -2
6, -43, 1
7, -47, -24
8, -36, -28
9, -48, -33
10, -62, -40
11, -67, -56
12, -44, -64
13, -61, -78
14, -64, -79
15, -54, -91
16, -37, -102
17, -67, -109
18, -56, -112
19, -28, -110
20, -41, -110
21, -37, -114
22, -42, -99
23, -33, -84
24, -29, -94
25, -21, -103
26, 0, -78
27, 0, -91
28, -7, -73
29, -3, -69
30, -21, -71
31, -20, -85
32, -15, -71
33, -19, -50
34, -35, -56
35, -25, -63
36, -15, -61
37, -45, -54
38, -46, -80
39, -32, -91
40, -55, -99
41, -52, -100
42, -69, -99
43, -56, -101
44, -47, -99
45, -46, -100
46, -56, -83
47, -41, -73
48, -35, -91
49, -28, -103
50, -25, -104
51, -42, -112
52, -22, -112
53, -35, -100
54, -33, -99
55, -15, -101
56, -10, -95
57, 1, -111
58, -4, -102
59, 11, -98
60, -21, -109
61, -19, -141
62, -16, -126
63, -23, -122
64, -8, -117
65, -24, -102
66, -4, -111
67, -6, -106
68, 7, -106
69, -5, -122
70, -9, -108
71, -5, -116
72, -10, -103
73, -5, -115
74, -11, -109
75, -10, -114
76, -1, -107
77, -3, -92
78, -13, -100
79, -22, -88
80, -25, -83
81, -27, -77
82, -30, -78
83, -45, -87
84, -60, -70
85, -56, -79
86, -42, -85
87, -41, -88
88, -25, -105
89, -18, -92
90, -21, -77
91, -21, -104
92, -7, -106
93, -7, -103
94, -9, -108
95, 0, -118
96, -17, -105
97, -39, -86
98, -14, -84
99, -13, -87
100, 0, -89
101, 1, -84
102, 0, -72
103, 23, -93
104, 16, -102
105, 1, -98
106, -15, -117
107, -19, -128
108, -15, -129
109, -29, -118
110, -12, -116
111, 0, -124
112, -10, -108
113, -8, -118
114, 4, -108
115, 6, -95
116, 13, -105
117, 20, -98
118, 34, -100
119, 8, -108
120, 36, -106
121, 37, -106
122, 44, -117
123, 61, -104
124, 44, -104
125, 50, -103
126, 51, -95
127, 56, -89
128, 34, -86
129, 25, -91
130, 37, -103
131, 33, -112
132, 41, -105
133, 47, -109
134, 61, -114
135, 49, -119
136, 47, -113
137, 34, -101
138, 17, -121
139, 10, -128
140, 1, -116
141, -9, -137
142, -28, -109
143, -32, -112
144, -29, -106
145, -50, -113
146, -54, -100
147, -60, -98
148, -60, -90
149, -33, -71
150, -39, -69
151, -47, -74
152, -41, -64
153, -31, -58
154, -35, -72
155, -21, -75
156, -27, -78
157, 2, -73
158, 4, -88
159, 0, -86
160, -12, -77
