# step, ring_center (x), ring_center (y)
0, 0, 0
1, -7, 6
2, -27, 8
3, -23, -3
4, -11, -13
5, -26, 5
6, -32, -2
7, -14, 0
8, -4, 3
9, 15, 8
10, 17, -10
11, 18, -1
12, 22, 13
13, 43, 20
14, 16, 34
15, 19, 25
16, 8, 4
17, -9, 21
18, -10, 19
19, -4, 13
20, 7, 2
21, -13, 2
22, 3, -8
23, 9, -4
24, 8, 14
25, 9, 12
26, 5, 30
27, -3, 35
28, -8, 49
29, -2, 77
30, 0, 68
31, 12, 80
32, 3, 99
33, 1, 96
34, 13, 89
35, 15, 90
36, 17, 98
37, 14, 95
38, 13, 84
39, 16, 96
40, 19, 108
41, 10, 96
42, 10, 105
43, 6, 137
44, -2, 127
45, 3, 126
46, -2, 137
47, 13, 129
48, -1, 117
49, -15, 119
50, -3, 97
51, -16, 121
52, 12, 128
53, 15, 129
54, 26, 125
55, 26, 124
56, 44, 119
57, 19, 104
58, -1, 103
59, -14, 111
60, -13, 117
61, -24, 118
62, -13, 109
63, -17, 106
64, -30, 117
65, -55, 117
66, -57, 117
67, -24, 115
68, -45, 107
69, -44, 106
70, -50, 107
71, -55, 113
72, -17, 110
73, -24, 108
74, -20, 113
75, -42, 128
76, -43, 133
77, -36, 130
78, -54, 132
79, -28, 123
80, -47, 116
81, -56, 108
82, -54, 120
83, -49, 124
84, -41, 132
85, -41, 134
86, -37, 127
87, -30, 127
88, -38, 107
89, -46, 113
90, -29, 117
91, -31, 109
92, -31, 105
93, -16, 150
94, -16, 148
95, -33, 144
96, -18, 154
97, -14, 164
98, -9, 157
99, 1, 154
100, 0, 156
101, 11, 171
102, 0, 167
103, 0, 160
104, 4, 145
105, 0, 160
106, -3, 170
107, 6, 175
108, 2, 176
109, 3, 188
110, 16, 170
111, 16, 182
112, -4, 186
113, 0, 175
114, 12, 196
115, 21, 191
116, 23, 195
117, 30, 214
118, 2, 202
119, 3, 197
120, 5, 205
121, 3, 204
122, -11, 216
123, -26, 215
124, -30, 218
125, -32, 208
126, -50, 209
127, -62, 197
128, -40, 202
129, -43, 226
130, -22, 244
131, -30, 227
132, -17, 232
133, -20, 216
134, -43, 230
135, -26, 238
136, -50, 252
137, -37, 268
138, -36, 260
139, -30, 252
140, -10, 245
141, 0, 244
142, -5, 238
143, -8, 234
144, -19, 232
145, -35, 242
146, -37, 242
147, -55, 239
148, -41, 220
149, -65, 191
150, -45, 186
151, -54, 198
152, -46, 204
153, -45, 200
154, -54, 215
155, -44, 224
156, -63, 215
157, -32, 220
158, -63, 246
159, -61, 236
160, -64, 250
