# step, ring_center (x), ring_center (y)
0, 0, 0
1, 20, 2
2, 28, -3
3, 35, -15
4, 50, -20
5, 61, -10
6, 64, 1
7, 64, 14
8, 44, -4
9, 62, 25
10, 58, 21
11, 49, 25
12, 56, 20
13, 58, 28
14, 59, 20
15, 58, 27
16, 58, 33
17, 52, 25
18, 56, 14
19, 47, -7
20, 44, -11
21, 36, -4
22, 13, 6
23, 32, 1
24, 33, 7
25, 41, 31
26, 45, 39
27, 46, 25
28, 41, 25
29, 68, 4
30, 64, 13
31, 62, 5
32, 58, -5
33, 53, 6
34, 50, -1
35, 47, 6
36, 53, 4
37, 40, 9
38, 37, 3
39, 30, 5
40, 32, 2
41, 34, -6
42, 43, -5
43, 47, -24
44, 31, -18
45, 31, -9
46, 25, -23
47, 21, -18
48, 9, -30
49, 9, -27
50, 28, -36
51, 28, -37
52, 27, -32
53, -5, -41
54, -15, -31
55, -6, -25
56, -19, -20
57, -17, -34
58, -25, -30
59, -35, -23
60, -23, -37
61, -20, -49
62, -18, -56
63, -32, -52
64, -19, -59
65, -13, -51
66, -21, -57
67, -30, -55
68, -21, -46
69, -22, -51
70, -37, -39
71, -25, -49
72, -45, -45
73, -65, -50
74, -45, -54
75, -52, -65
76, -58, -68
77, -55, -71
78, -50, -76
79, -61, -79
80, -67, -74
81, -50, -81
82, -63, -81
83, -50, -66
84, -53, -80
85, -64, -99
86, -68, -91
87, -45, -110
88, -50, -130
89, -28, -129
90, -47, -126
91, -43, -118
92, -37, -119
93, -56, -105
94, -50, -112
95, -42, -108
96, -31, -95
97, -19, -105
98, -17, -66
99, -20, -80
100, -24, -69
101, -15, -83
102, -24, -69
103, -9, -77
104, -12, -81
105, -16, -83
106, -29, -80
107, -28, -86
108, -5, -96
109, 6, -125
110, 0, -125
111, -1, -105
112, 10, -120
113, 21, -121
114, 12, -109
115, 11, -107
116, 32, -118
117, 42, -106
118, 36, -101
119, 13, -101
120, 2, -109
121, -11, -113
122, -13, -117
123, 11, -107
124, 8, -118
125, 32, -112
126, 40, -113
127, 44, -124
128, 35, -123
129, 43, -107
130, 33, -122
131, 21, -113
132, 38, -103
133, 47, -97
134, 38, -88
135, 34, -85
136, 63, -85
137, 45, -93
138, 46, -107
139, 63, -89
140, 33, -86
141, 51, -59
142, 55, -84
143, 68, -92
144, 40, -58
145, 45, -63
146, 45, -58
147, 44, -62
148, 28, -70
149, 18, -58
150, 18, -73
151, 12, -83
152, 0, -86
153, 9, -74
154, 9, -78
155, 5, -90
156, 24, -77
157, 32, -80
158, 44, -75
159, 54, -70
160, 59, -60
