# step, ring_center (x), ring_center (y)
0, 0, 0
1, 4, 6
2, 11, 9
3, 20, 27
4, 15, 34
5, 9, 56
6, 0, 56
7, 3, 66
8, -1, 71
9, -1, 73
10, 6, 61
11, 17, 63
12, 13, 77
13, 7, 72
14, 1, 85
15, 4, 79
16, 4, 96
17, 8, 105
18, 13, 132
19, 0, 136
20, 16, 139
21, 24, 132
22, 41, 135
23, 44, 115
24, 36, 117
25, 30, 119
26, 20, 125
27, 26, 111
28, 32, 104
29, 29, 111
30, 37, 119
31, 34, 114
32, 44, 114
33, 56, 109
34, 48, 106
35, 27, 109
36, 36, 120
37, 38, 113
38, 21, 114
39, 31, 102
40, 15, 85
41, 6, 83
42, 1, 99
43, -9, 99
44, -1, 101
45, -17, 104
46, -22, 107
47, -8, 109
48, 13, 135
49, 17, 113
50, 0, 125
51, 19, 131
52, 43, 152
53, 41, 141
54, 48, 154
55, 47, 152
56, 49, 141
57, 35, 159
58, 63, 138
59, 49, 120
60, 50, 109
61, 61, 122
62, 47, 142
63, 29, 127
64, 34, 117
65, 19, 125
66, 18, 104
67, 11, 106
68, 30, 116
69, 21, 96
70, 34, 82
71, 50, 94
72, 49, 102
73, 37, 102
74, 57, 102
75, 31, 107
76, 17, 109
77, 31, 129
78, 42, 119
79, 42, 127
80, 59, 123
81, 64, 130
82, 44, 131
83, 32, 130
84, 58, 122
85, 45, 100
86, 60, 111
87, 61, 113
88, 51, 112
89, 65, 120
90, 50, 113
91, 53, 101
92, 36, 113
93, 38, 101
94, 30, 96
95, 31, 104
96, -1, 109
97, 9, 121
98, 1, 111
99, 3, 124
100, 7, 131
101, 1, 122
102, -2, 130
103, 1, 122
104, 19, 122
105, 40, 114
106, 24, 121
107, 35, 109
108, 45, 136
109, 36, 136
110, 36, 158
111, 46, 170
112, 45, 157
113, 53, 161
114, 46, 169
115, 40, 159
116, 40, 175
117, 37, 180
118, 40, 170
119, 23, 159
120, 48, 146
121, 56, 153
122, 46, 174
123, 69, 169
124, 55, 160
125, 60, 174
126, 55, 174
127, 52, 162
128, 56, 167
129, 59, 165
130, 65, 156
131, 51, 160
132, 57, 157
133, 57, 162
134, 46, 167
135, 41, 177
136, 58, 146
137, 57, 144
138, 49, 148
139, 53, 144
140, 60, 145
141, 56, 143
142, 63, 147
143, 55, 140
144, 55, 162
145, 42, 155
146, 43, 157
147, 54, 179
148, 60, 186
149, 55, 188
150, 67, 204
151, 51, 203
152, 57, 204
153, 59, 220
154, 45, 221
155, 30, 212
156, 32, 206
157, 39, 206
158, 46, 198
159, 42, 199
160, 43, 198
