# step, ring_center (x), ring_center (y)
0, 0, 0
1, 1, 8
2, 7, 8
3, -8, 18
4, 10, -6
5, 0, -21
6, 12, -9
7, 7, -19
8, 14, -19
9, 19, -44
10, 16, -45
11, 13, -52
12, 8, -45
13, 15, -41
14, -10, -30
15, -3, -10
16, -5, 2
17, -3, 29
18, -10, 30
19, 11, 26
20, 13, 18
21, 43, 26
22, 53, 25
23, 39, 26
24, 40, 7
25, 32, 17
26, 32, 17
27, 16, 11
28, 14, 5
29, 4, 19
30, -3, 25
31, -2, 25
32, -8, 13
33, 9, 24
34, 24, 46
35, 16, 52
36, 16, 65
37, 29, 56
38, 32, 57
39, 45, 59
40, 46, 57
41, 57, 51
42, 54, 57
43, 43, 65
44, 57, 69
45, 56, 93
46, 54, 78
47, 54, 92
48, 62, 99
49, 62, 86
50, 38, 80
51, 47, 73
52, 51, 69
53, 54, 68
54, 60, 72
55, 67, 73
56, 56, 68
57, 61, 57
58, 61, 50
59, 66, 68
60, 57, 73
61, 69, 67
62, 46, 61
63, 49, 78
64, 33, 80
65, 33, 56
66, 36, 75
67, 49, 89
68, 46, 80
69, 43, 79
70, 58, 73
71, 40, 75
72, 43, 89
73, 47, 80
74, 45, 79
75, 26, 81
76, 11, 84
77, 29, 87
78, 35, 90
79, 29, 112
80, 37, 122
81, 22, 108
82, 22, 130
83, 33, 133
84, 19, 143
85, 21, 147
86, 9, 151
87, 8, 164
88, 31, 149
89, 39, 150
90, 36, 153
91, 50, 136
92, 40, 115
93, 46, 117
94, 44, 110
95, 49, 100
96, 49, 94
97, 37, 109
98, 25, 108
99, 31, 86
100, 33, 80
101, 32, 71
102, 13, 79
103, 19, 89
104, 13, 91
105, -3, 97
106, 0, 110
107, 1, 104
108, 1, 114
109, 7, 104
110, 11, 112
111, 22, 81
112, 28, 85
113, 34, 92
114, 37, 78
115, 44, 96
116, 22, 76
117, 6, 88
118, -1, 83
119, 1, 82
120, -2, 89
121, 21, 93
122, 9, 99
123, -1, 116
124, -4, 126
125, -1, 122
126, -4, 142
127, -3, 141
128, -18, 149
129, 1, 172
130, 19, 181
131, 1, 166
132, 28, 179
133, 17, 198
134, 37, 180
135, 45, 195
136, 43, 198
137, 43, 196
138, 46, 199
139, 40, 202
140, 16, 185
141, 51, 173
142, 50, 172
143, 60, 179
144, 68, 183
145, 58, 171
146, 53, 163
147, 58, 169
148, 64, 164
149, 50, 154
150, 59, 141
151, 48, 143
152, 52, 144
153, 50, 136
154, 53, 139
155, 66, 130
156, 61, 132
157, 45, 130
158, 31, 118
159, 47, 110
160, 33, 114
