# step, ring_center (x), ring_center (y)
0, 0, 0
1, 19, -8
2, -1, -8
3, -5, -8
4, -12, -6
5, 4, 3
6, 27, -8
7, 43, -20
8, 18, -4
9, 40, 9
10, 46, 16
11, 43, 22
12, 54, 32
13, 57, 48
14, 62, 33
15, 60, 49
16, 40, 43
17, 46, 33
18, 28, 31
19, 32, 2
20, 45, 21
21, 43, 5
22, 54, 9
23, 56, 13
24, 59, 2
25, 49, 1
26, 42, 23
27, 55, 23
28, 57, 27
29, 46, 24
30, 42, 10
31, 45, 14
32, 54, 15
33, 39, 2
34, 35, 9
35, 45, 14
36, 42, 12
37, 58, 17
38, 48, 39
39, 41, 30
40, 61, 41
41, 61, 61
42, 46, 52
43, 46, 62
44, 26, 50
45, 2, 45
46, 12, 40
47, 23, 17
48, 28, 8
49, 34, 11
50, 20, -6
51, 17, -7
52, 0, 5
53, 25, 8
54, 6, 10
55, 20, 8
56, -3, 0
57, 3, 4
58, 3, 17
59, -9, 4
60, -7, 23
61, -3, 8
62, -17, 8
63, -11, 10
64, -17, 17
65, -6, 51
66, -13, 56
67, -8, 83
68, -37, 84
69, -29, 99
70, -32, 85
71, -17, 80
72, -28, 82
73, -26, 72
74, -10, 59
75, -20, 48
76, -4, 36
77, -6, 28
78, -30, 51
79, -29, 46
80, -31, 61
81, -44, 46
82, -60, 42
83, -60, 62
84, -58, 53
85, -51, 66
86, -58, 68
87, -54, 51
88, -50, 37
89, -50, 27
90, -40, 31
91, -19, 7
92, -20, 15
93, -9, 10
94, -11, 17
95, -9, 28
96, -8, 16
97, 0, 8
98, 8, 11
99, 23, 11
100, 9, 11
101, 26, -5
102, 27, -18
103, 23, -24
104, 24, -6
105, 30, -2
106, 17, -15
107, 12, -9
108, 19, -7
109, 16, -25
110, 28, -14
111, 28, -18
112, 10, -28
113, 15, -39
114, 11, -36
115, 4, -46
116, 18, -59
117, -7, -45
118, 9, -60
119, 7, -50
120, 7, -73
121, 5, -79
122, 28, -78
123, 27, -91
124, 28, -86
125, 5, -90
126, 35, -65
127, 50, -77
128, 34, -81
129, 28, -77
130, 37, -85
131, 30, -69
132, 42, -74
133, 24, -74
134, 23, -104
135, 9, -101
136, 7, -99
137, 6, -94
138, 36, -83
139, 41, -90
140, 34, -104
141, 34, -85
142, 20, -78
143, 12, -86
144, 27, -74
145, 31, -79
146, -8, -85
147, 1, -93
148, -6, -91
149, -19, -108
150, -24, -95
151, -40, -85
152, -26, -86
153, -52, -89
154, -33, -80
155, -40, -93
156, -41, -102
157, -43, -100
158, -56, -109
159, -61, -107
160, -36, -114
