# step, ring_center (x), ring_center (y)
0, 0, 0
1, -20, 32
2, -27, 19
3, -32, 24
4, -42, 23
5, -39, 14
6, -39, 18
7, -23, 40
8, -15, 27
9, -15, 31
10, -19, 44
11, -7, 38
12, 3, 31
13, 0, 26
14, -6, 37
15, 1, 39
16, 10, 45
17, 4, 47
18, 4, 53
19, 8, 61
20, 20, 69
21, 29, 72
22, 26, 67
23, 34, 78
24, 42, 66
25, 32, 56
26, 49, 47
27, 48, 43
28, 47, 34
29, 56, 36
30, 55, 41
31, 60, 38
32, 64, 48
33, 50, 52
34, 51, 60
35, 46, 62
36, 43, 56
37, 50, 56
38, 55, 34
39, 61, 52
40, 64, 51
41, 60, 47
42, 53, 58
43, 52, 53
44, 44, 63
45, 24, 75
46, 28, 87
47, 14, 80
48, -5, 94
49, -8, 96
50, -1, 87
51, 19, 107
52, 15, 95
53, 27, 105
54, 18, 101
55, 27, 103
56, 33, 102
57, 37, 120
58, 34, 143
59, 35, 145
60, 34, 151
61, 43, 155
62, 28, 166
63, 23, 174
64, 25, 177
65, 21, 190
66, 29, 189
67, 34, 198
68, 33, 195
69, 33, 184
70, 47, 171
71, 58, 172
72, 57, 157
73, 60, 133
74, 49, 124
75, 36, 122
76, 45, 115
77, 40, 105
78, 34, 97
79, 31, 102
80, 42, 108
81, 35, 125
82, 27, 126
83, 25, 129
84, 33, 136
85, 35, 154
86, 41, 148
87, 40, 129
88, 45, 123
89, 39, 119
90, 40, 109
91, 31, 129
92, 22, 121
93, 16, 129
94, -1, 140
95, 7, 153
96, -16, 171
97, -3, 169
98, -7, 176
99, -18, 170
100, -8, 165
101, -9, 159
102, -3, 179
103, -9, 168
104, 10, 174
105, 19, 154
106, 20, 186
107, 8, 175
108, 3, 177
109, -3, 189
110, -8, 193
111, -4, 192
112, -18, 196
113, -4, 191
114, -2, 191
115, 7, 184
116, -7, 184
117, 7, 206
118, -11, 211
119, -35, 217
120, -45, 206
121, -36, 222
122, -30, 214
123, -30, 202
124, -54, 219
125, -42, 228
126, -36, 236
127, -50, 250
128, -56, 257
129, -67, 262
130, -60, 271
131, -35, 274
132, -41, 261
133, -28, 262
134, -36, 244
135, -30, 253
136, -29, 274
137, -45, 275
138, -60, 289
139, -52, 299
140, -63, 310
141, -61, 316
142, -59, 331
143, -64, 342
144, -80, 323
145, -62, 326
146, -56, 330
147, -67, 329
148, -75, 336
149, -100, 347
150, -107, 352
151, -97, 352
152, -97, 371
153, -92, 382
154, -109, 376
155, -107, 376
156, -118, 373
157, -108, 370
158, -101, 370
159, -100, 375
160, -97, 389
