# step, ring_center (x), ring_center (y)
0, 0, 0
1, -6, -6
2, 7, -1
3, 8, 32
4, 6, 22
5, -18, 26
6, -27, 49
7, -19, 42
8, -27, 56
9, -37, 76
10, -21, 99
11, -23, 115
12, -4, 108
13, -7, 106
14, -9, 122
15, -14, 128
16, -14, 123
17, -20, 130
18, -14, 150
19, -9, 137
20, -6, 149
21, -15, 147
22, -17, 160
23, -17, 161
24, -17, 165
25, -10, 198
26, -1, 197
27, -4, 198
28, 5, 214
29, 10, 220
30, -5, 207
31, -7, 219
32, -6, 203
33, -5, 212
34, -28, 205
35, -13, 219
36, -27, 218
37, -6, 224
38, -5, 224
39, 6, 224
40, 13, 237
41, 17, 230
42, 19, 251
43, 21, 262
44, 18, 271
45, 33, 260
46, 43, 273
47, 36, 298
48, 42, 285
49, 37, 308
50, 49, 320
51, 64, 321
52, 65, 342
53, 66, 345
54, 64, 343
55, 57, 358
56, 47, 355
57, 48, 383
58, 29, 376
59, 33, 372
60, 49, 373
61, 45, 393
62, 56, 384
63, 59, 385
64, 64, 366
65, 42, 372
66, 44, 387
67, 49, 383
68, 48, 400
69, 49, 405
70, 41, 409
71, 38, 413
72, 60, 418
73, 51, 405
74, 57, 397
75, 44, 404
76, 47, 403
77, 32, 398
78, 34, 406
79, 33, 402
80, 41, 406
81, 49, 383
82, 49, 385
83, 29, 381
84, 21, 380
85, 27, 381
86, 39, 386
87, 39, 376
88, 63, 389
89, 58, 397
90, 55, 391
91, 59, 404
92, 63, 380
93, 48, 380
94, 63, 387
95, 47, 381
96, 53, 357
97, 29, 348
98, 56, 341
99, 60, 347
100, 61, 348
101, 70, 334
102, 50, 316
103, 55, 304
104, 78, 314
105, 73, 314
106, 80, 317
107, 80, 334
108, 84, 325
109, 85, 321
110, 90, 325
111, 98, 340
112, 85, 359
113, 95, 347
114, 101, 333
115, 96, 325
116, 85, 353
117, 86, 336
118, 86, 344
119, 79, 345
120, 89, 366
121, 96, 366
122, 86, 369
123, 82, 374
124, 81, 356
125, 62, 358
126, 95, 375
127, 108, 376
128, 126, 370
129, 116, 391
130, 114, 401
131, 115, 383
132, 113, 396
133, 125, 392
134, 121, 381
135, 122, 403
136, 131, 408
137, 141, 411
138, 141, 423
139, 139, 429
140, 143, 442
141, 161, 441
142, 148, 423
143, 152, 424
144, 153, 443
145, 161, 457
146, 166, 450
147, 168, 476
148, 162, 483
149, 165, 497
150, 146, 520
151, 162, 526
152, 174, 526
153, 175, 518
154, 154, 511
155, 155, 512
156, 142, 510
157, 128, 537
158, 116, 537
159, 108, 537
160, 112, 545
