# step, ring_center (x), ring_center (y)
0, 0, 0
1, 2, -10
2, -10, 5
3, -12, -3
4, -17, -11
5, -15, -26
6, -18, -27
7, -14, -33
8, -16, -27
9, -23, -36
10, -28, -25
11, -38, -28
12, -41, -4
13, -29, -10
14, -25, -3
15, -22, -3
16, -22, 1
17, -24, -8
18, -36, 0
19, -40, 5
20, -32, 13
21, -25, 24
22, -12, 22
23, -7, 31
24, -12, 25
25, -19, 44
26, -24, 48
27, -30, 50
28, -26, 60
29, -8, 59
30, -1, 65
31, -20, 81
32, -13, 82
33, -17, 70
34, -11, 74
35, -4, 89
36, -34, 98
37, -31, 108
38, -10, 117
39, -16, 116
40, -17, 105
41, -13, 111
42, 7, 131
43, 22, 128
44, 19, 114
45, 30, 115
46, 8, 110
47, 19, 114
48, 11, 119
49, 12, 120
50, -10, 135
51, 20, 139
52, 7, 149
53, 1, 154
54, 6, 163
55, 12, 160
56, 7, 168
57, 8, 176
58, 11, 184
59, 9, 182
60, 6, 177
61, 8, 184
62, 9, 187
63, 12, 194
64, 11, 203
65, 13, 190
66, 0, 179
67, -3, 191
68, -8, 177
69, -1, 192
70, -11, 187
71, -1, 181
72, 6, 206
73, 6, 211
74, 14, 227
75, 20, 240
76, 29, 246
77, 14, 248
78, 6, 255
79, 4, 272
80, 6, 273
81, 9, 254
82, 13, 246
83, 26, 238
84, 30, 252
85, 31, 247
86, 9, 264
87, 5, 275
88, 9, 267
89, -2, 268
90, 12, 261
91, 13, 264
92, 30, 263
93, 30, 278
94, 40, 270
95, 46, 291
96, 59, 290
97, 71, 293
98, 47, 298
99, 36, 302
100, 6, 300
101, 11, 303
102, 21, 302
103, 6, 314
104, 2, 318
105, 4, 327
106, 6, 313
107, -1, 328
108, 12, 334
109, 10, 336
110, 9, 339
111, 20, 340
112, 28, 335
113, 24, 334
114, 19, 327
115, 18, 327
116, 22, 333
117, 1, 339
118, 10, 344
119, 11, 350
120, 29, 372
121, 37, 364
122, 41, 375
123, 38, 363
124, 54, 361
125, 46, 384
126, 46, 403
127, 57, 400
128, 64, 400
129, 75, 398
130, 94, 401
131, 94, 421
132, 103, 420
133, 98, 427
134, 124, 420
135, 123, 425
136, 151, 415
137, 158, 419
138, 169, 416
139, 156, 430
140, 175, 422
141, 168, 432
142, 176, 431
143, 168, 463
144, 156, 481
145, 163, 456
146, 180, 444
147, 192, 470
148, 190, 470
149, 179, 464
150, 174, 459
151, 173, 461
152, 199, 473
153, 195, 481
154, 187, 477
155, 226, 478
156, 216, 483
157, 230, 483
158, 224, 485
159, 221, 479
160, 205, 485
