# step, ring_center (x), ring_center (y)
0, 0, 0
1, 6, -28
2, 17, -26
3, 19, -19
4, 17, -21
5, 27, -20
6, 21, -23
7, 12, 13
8, 36, 8
9, 44, 10
10, 34, 13
11, 28, 7
12, 40, 32
13, 17, 23
14, 33, 25
15, 19, 38
16, 30, 25
17, 31, 26
18, 25, 33
19, 31, 25
20, 24, 29
21, 12, 27
22, 12, 39
23, 1, 37
24, -5, 30
25, -2, 29
26, 8, 39
27, -7, 57
28, 15, 63
29, 8, 53
30, 13, 56
31, 29, 61
32, 23, 58
33, 34, 49
34, 30, 44
35, 21, 41
36, 4, 43
37, 0, 61
38, -6, 74
39, -15, 74
40, -33, 79
41, -25, 87
42, -23, 75
43, -25, 67
44, -20, 66
45, -27, 53
46, -41, 56
47, -18, 65
48, -29, 63
49, -49, 60
50, -42, 79
51, -56, 69
52, -52, 63
53, -27, 60
54, -40, 44
55, -36, 33
56, -51, 37
57, -51, 37
58, -58, 52
59, -63, 39
60, -65, 34
61, -59, 45
62, -54, 38
63, -52, 62
64, -63, 51
65, -54, 44
66, -63, 43
67, -65, 48
68, -56, 63
69, -53, 59
70, -42, 57
71, -40, 66
72, -27, 61
73, -25, 70
74, -38, 91
75, -47, 90
76, -62, 92
77, -62, 89
78, -61, 92
79, -49, 97
80, -68, 75
81, -51, 79
82, -62, 87
83, -56, 87
84, -35, 86
85, -30, 81
86, -20, 100
87, -5, 113
88, -2, 107
89, -9, 93
90, -13, 81
91, -8, 89
92, 1, 95
93, 1, 77
94, 1, 83
95, -9, 84
96, -25, 91
97, -32, 84
98, -32, 92
99, -56, 65
100, -66, 76
101, -63, 80
102, -60, 96
103, -43, 98
104, -50, 112
105, -59, 106
106, -58, 104
107, -68, 106
108, -45, 113
109, -23, 124
110, -46, 130
111, -48, 140
112, -57, 125
113, -60, 130
114, -62, 122
115, -43, 130
116, -24, 134
117, -39, 136
118, -40, 129
119, -40, 135
120, -42, 135
121, -48, 140
122, -51, 147
123, -52, 142
124, -54, 145
125, -62, 145
126, -62, 151
127, -50, 133
128, -60, 145
129, -68, 172
130, -60, 163
131, -54, 166
132, -60, 158
133, -52, 167
134, -53, 162
135, -28, 185
136, -18, 189
137, -20, 212
138, -22, 213
139, -48, 213
140, -39, 212
141, -25, 203
142, -38, 202
143, -36, 204
144, -47, 203
145, -40, 202
146, -40, 194
147, -35, 193
148, -35, 197
149, -34, 186
150, -20, 202
151, -11, 208
152, -10, 213
153, -20, 211
154, -21, 208
155, -18, 217
156, -25, 219
157, -15, 222
158, -29, 226
159, -54, 245
160, -29, 236
