# step, ring_center (x), ring_center (y)
0, 0, 0
1, -12, 2
2, -12, 10
3, -8, 0
4, -13, 4
5, -10, -12
6, -16, 6
7, -11, 16
8, -5, 21
9, -6, 29
10, -26, 16
11, -30, 40
12, -19, 31
13, -33, 30
14, -16, 52
15, -17, 54
16, -5, 60
17, -17, 54
18, -20, 45
19, -52, 59
20, -48, 66
21, -41, 58
22, -44, 65
23, -36, 69
24, -41, 42
25, -66, 48
26, -61, 44
27, -67, 52
28, -66, 68
29, -67, 46
30, -60, 56
31, -47, 37
32, -40, 46
33, -40, 39
34, -51, 55
35, -62, 71
36, -64, 59
37, -35, 56
38, -39, 56
39, -33, 65
40, -31, 73
41, -51, 79
42, -61, 83
43, -37, 87
44, -58, 109
45, -45, 112
46, -44, 118
47, -45, 124
48, -57, 130
49, -50, 119
50, -61, 141
51, -64, 151
52, -62, 150
53, -51, 146
54, -55, 146
55, -54, 138
56, -42, 148
57, -18, 151
58, -36, 145
59, -50, 143
60, -50, 144
61, -58, 155
62, -54, 144
63, -62, 152
64, -38, 172
65, -52, 172
66, -37, 158
67, -32, 157
68, -42, 153
69, -50, 164
70, -49, 163
71, -42, 181
72, -55, 186
73, -41, 179
74, -52, 179
75, -61, 171
76, -59, 167
77, -56, 160
78, -46, 171
79, -26, 149
80, 0, 147
81, 1, 130
82, 6, 134
83, 10, 120
84, 42, 109
85, 14, 106
86, 29, 113
87, 33, 127
88, 31, 131
89, 34, 130
90, 41, 112
91, 47, 121
92, 59, 116
93, 68, 118
94, 60, 111
95, 51, 112
96, 46, 127
97, 54, 136
98, 48, 143
99, 56, 146
100, 60, 144
101, 61, 145
102, 62, 139
103, 56, 134
104, 57, 132
105, 67, 133
106, 61, 127
107, 41, 119
108, 43, 128
109, 46, 126
110, 60, 123
111, 58, 134
112, 49, 142
113, 45, 146
114, 42, 133
115, 39, 139
116, 45, 155
117, 39, 160
118, 43, 168
119, 59, 174
120, 52, 176
121, 53, 192
122, 53, 182
123, 38, 177
124, 42, 175
125, 36, 190
126, 34, 181
127, 32, 194
128, 32, 191
129, 38, 178
130, 35, 177
131, 39, 193
132, 57, 210
133, 66, 210
134, 56, 209
135, 59, 234
136, 45, 227
137, 45, 212
138, 40, 208
139, 42, 212
140, 44, 225
141, 40, 228
142, 39, 234
143, 40, 235
144, 33, 240
145, 44, 236
146, 52, 237
147, 59, 244
148, 65, 247
149, 69, 244
150, 62, 250
151, 57, 260
152, 61, 269
153, 52, 273
154, 53, 303
155, 54, 293
156, 68, 299
157, 71, 332
158, 78, 340
159, 82, 357
160, 89, 362
