# step, ring_center (x), ring_center (y)
0, 0, 0
1, 23, -20
2, 27, -12
3, 34, 5
4, 53, 15
5, 46, 23
6, 49, 29
7, 49, 29
8, 34, 49
9, 37, 66
10, 47, 84
11, 48, 80
12, 45, 69
13, 29, 70
14, 7, 101
15, -11, 89
16, -9, 90
17, -15, 93
18, -25, 81
19, -2, 100
20, 10, 105
21, 6, 112
22, 34, 98
23, 33, 99
24, 42, 100
25, 41, 101
26, 41, 91
27, 54, 105
28, 29, 113
29, 19, 107
30, 12, 119
31, 8, 132
32, 21, 134
33, 35, 132
34, 31, 135
35, 37, 149
36, 29, 155
37, 44, 158
38, 51, 162
39, 58, 171
40, 62, 174
41, 59, 176
42, 54, 185
43, 37, 184
44, 66, 203
45, 53, 171
46, 47, 178
47, 47, 188
48, 50, 189
49, 47, 188
50, 51, 193
51, 51, 188
52, 58, 193
53, 63, 221
54, 63, 191
55, 48, 202
56, 55, 205
57, 38, 197
58, 52, 181
59, 30, 169
60, 22, 174
61, 21, 168
62, 18, 176
63, 17, 181
64, 11, 186
65, 17, 185
66, 16, 183
67, 4, 183
68, -13, 180
69, -14, 184
70, -14, 161
71, -11, 174
72, -30, 156
73, -2, 166
74, -6, 160
75, -9, 167
76, -11, 149
77, -25, 168
78, -34, 166
79, -24, 152
80, -43, 152
81, -37, 161
82, -25, 166
83, -14, 175
84, -19, 170
85, -6, 168
86, -18, 167
87, -19, 170
88, -9, 163
89, 3, 163
90, 7, 161
91, 9, 163
92, 9, 183
93, 19, 171
94, 15, 177
95, 10, 173
96, 11, 183
97, 7, 193
98, -19, 192
99, -27, 187
100, -33, 200
101, -24, 203
102, -37, 200
103, -42, 191
104, -45, 184
105, -38, 187
106, -47, 188
107, -62, 189
108, -43, 181
109, -50, 186
110, -40, 195
111, -36, 206
112, -42, 200
113, -46, 212
114, -59, 207
115, -63, 213
116, -48, 210
117, -48, 223
118, -61, 234
119, -52, 246
120, -47, 239
121, -48, 248
122, -59, 253
123, -53, 255
124, -61, 264
125, -48, 276
126, -32, 266
127, -20, 252
128, -17, 246
129, -13, 226
130, -6, 217
131, 2, 199
132, -9, 190
133, -12, 189
134, 9, 192
135, 12, 191
136, 4, 177
137, 21, 186
138, 30, 184
139, 33, 173
140, 43, 173
141, 35, 169
142, 41, 166
143, 62, 170
144, 62, 176
145, 53, 157
146, 67, 161
147, 61, 170
148, 54, 163
149, 49, 169
150, 45, 195
151, 47, 200
152, 66, 205
153, 63, 206
154, 52, 193
155, 61, 197
156, 57, 227
157, 20, 258
158, 32, 246
159, 52, 246
160, 48, 257
