# step, ring_center (x), ring_center (y)
0, 0, 0
1, 3, 5
2, -8, 5
3, -25, 14
4, -21, 6
5, -9, 7
6, -5, 9
7, 0, 8
8, 3, 36
9, 3, 49
10, 27, 56
11, 17, 47
12, 22, 41
13, -3, 59
14, -9, 79
15, -6, 76
16, -15, 75
17, -14, 81
18, -19, 95
19, -25, 83
20, -24, 88
21, -43, 84
22, -41, 92
23, -44, 102
24, -43, 105
25, -62, 93
26, -49, 86
27, -50, 110
28, -65, 89
29, -58, 82
30, -61, 93
31, -43, 89
32, -57, 95
33, -56, 123
34, -30, 107
35, -37, 98
36, -22, 93
37, -15, 89
38, -10, 94
39, -21, 84
40, -18, 74
41, -19, 57
42, -2, 75
43, 16, 76
44, 17, 72
45, 20, 86
46, 13, 70
47, 10, 84
48, 0, 77
49, -1, 91
50, 7, 106
51, 15, 112
52, 22, 129
53, 33, 135
54, 31, 151
55, 49, 133
56, 53, 139
57, 43, 149
58, 33, 170
59, 16, 184
60, 10, 196
61, 8, 208
62, -1, 209
63, 3, 180
64, 19, 180
65, 36, 180
66, 30, 186
67, 20, 180
68, 10, 184
69, 43, 195
70, 28, 177
71, 32, 169
72, 30, 171
73, 11, 181
74, 6, 178
75, 24, 192
76, 49, 189
77, 52, 194
78, 49, 212
79, 49, 221
80, 62, 220
81, 59, 212
82, 51, 237
83, 56, 241
84, 67, 248
85, 46, 269
86, 58, 266
87, 47, 266
88, 47, 267
89, 53, 264
90, 68, 260
91, 68, 269
92, 65, 273
93, 62, 268
94, 52, 261
95, 55, 256
96, 46, 232
97, 46, 226
98, 36, 242
99, 36, 234
100, 32, 218
101, 38, 216
102, 42, 210
103, 36, 204
104, 40, 204
105, 19, 212
106, 18, 217
107, 39, 223
108, 46, 212
109, 51, 216
110, 60, 218
111, 54, 214
112, 38, 195
113, 59, 185
114, 55, 187
115, 49, 189
116, 55, 173
117, 63, 164
118, 60, 158
119, 52, 167
120, 55, 177
121, 48, 168
122, 62, 184
123, 69, 161
124, 65, 166
125, 54, 160
126, 52, 162
127, 47, 170
128, 40, 169
129, 38, 166
130, 43, 175
131, 56, 184
132, 49, 168
133, 47, 179
134, 48, 162
135, 42, 152
136, 38, 154
137, 25, 147
138, 33, 148
139, 29, 149
140, 25, 153
141, 40, 159
142, 41, 156
143, 44, 163
144, 55, 167
145, 63, 165
146, 49, 173
147, 60, 177
148, 56, 176
149, 56, 184
150, 61, 185
151, 57, 190
152, 64, 193
153, 40, 196
154, 42, 199
155, 57, 204
156, 48, 209
157, 59, 194
158, 66, 199
159, 61, 218
160, 32, 221
