# step, ring_center (x), ring_center (y)
0, 0, 0
1, -1, -17
2, 15, -30
3, 2, -30
4, 23, -31
5, 38, -38
6, 39, -40
7, 40, -49
8, 58, -51
9, 47, -49
10, 49, -55
11, 43, -40
12, 47, -45
13, 48, -54
14, 48, -59
15, 41, -68
16, 25, -48
17, 40, -40
18, 38, -21
19, 23, -13
20, 26, -14
21, 11, -14
22, 17, -11
23, 6, 0
24, 12, 8
25, 22, -5
26, 6, -3
27, 7, -5
28, 5, -16
29, -15, -18
30, 5, -18
31, 15, -17
32, 18, 9
33, 22, 4
34, 16, 8
35, 20, 5
36, 28, 9
37, 28, 4
38, 15, -7
39, 33, -7
40, 45, -17
41, 54, -10
42, 61, -14
43, 51, -17
44, 47, -36
45, 52, -40
46, 47, -46
47, 52, -37
48, 59, -45
49, 55, -29
50, 52, -21
51, 57, -23
52, 53, -19
53, 48, -15
54, 39, -6
55, 51, -27
56, 53, -34
57, 46, -44
58, 28, -42
59, 48, -44
60, 34, -30
61, 36, -30
62, 38, -31
63, 30, -24
64, 43, -20
65, 31, 4
66, 44, 11
67, 33, 12
68, 24, 16
69, 6, 37
70, 0, 41
71, -11, 31
72, -8, 39
73, -11, 37
74, -11, 53
75, -40, 40
76, -44, 40
77, -46, 35
78, -44, 34
79, -49, 40
80, -50, 40
81, -34, 25
82, -32, 27
83, -34, 42
84, -22, 48
85, -21, 63
86, -26, 71
87, -38, 66
88, -60, 80
89, -59, 85
90, -54, 94
91, -64, 113
92, -55, 100
93, -57, 98
94, -51, 84
95, -50, 74
96, -48, 61
97, -55, 51
98, -47, 26
99, -52, 23
100, -49, 26
101, -63, 34
102, -63, 35
103, -57, 42
104, -55, 32
105, -51, 50
106, -47, 60
107, -32, 62
108, -32, 63
109, -37, 77
110, -47, 75
111, -52, 76
112, -56, 83
113, -45, 81
114, -53, 79
115, -53, 90
116, -49, 92
117, -58, 85
118, -55, 85
119, -54, 97
120, -58, 88
121, -65, 82
122, -64, 78
123, -34, 91
124, -49, 100
125, -43, 102
126, -36, 100
127, -31, 91
128, -32, 90
129, -36, 100
130, -48, 102
131, -48, 110
132, -33, 93
133, -33, 94
134, -28, 90
135, -27, 85
136, -18, 75
137, -10, 64
138, -9, 61
139, -4, 60
140, -1, 46
141, 10, 48
142, -15, 30
143, -31, 33
144, -42, 43
145, -40, 40
146, -46, 39
147, -52, 48
148, -39, 52
149, -30, 48
150, -37, 44
151, -41, 38
152, -37, 40
153, -38, 39
154, -40, 43
155, -44, 43
156, -42, 67
157, -47, 80
158, -49, 84
159, -68, 80
160, -43, 84
