# step, ring_center (x), ring_center (y)
0, 0, 0
1, 11, -9
2, 4, -23
3, 6, -20
4, -2, -20
5, 10, -24
6, 7, -16
7, 3, -16
8, 22, -33
9, 0, -29
10, 4, -26
11, 0, -31
12, 7, -17
13, 14, -25
14, 6, -38
15, 8, -42
16, 0, -57
17, -6, -63
18, -16, -53
19, -24, -60
20, -16, -48
21, -10, -48
22, -18, -50
23, -8, -59
24, -8, -51
25, -34, -64
26, -28, -46
27, -43, -41
28, -20, -41
29, 0, -39
30, -26, -43
31, -32, -56
32, -33, -60
33, -32, -60
34, -38, -47
35, -63, -41
36, -31, -53
37, -33, -53
38, -57, -29
39, -52, -31
40, -58, -27
41, -47, -44
42, -52, -44
43, -57, -34
44, -61, -27
45, -57, -25
46, -53, -23
47, -52, -19
48, -51, -22
49, -43, -28
50, -35, -27
51, -40, -28
52, -31, -10
53, -38, -4
54, -47, 4
55, -24, 1
56, -56, 11
57, -43, 16
58, -45, 5
59, -44, 20
60, -44, 11
61, -44, 6
62, -48, 3
63, -31, -2
64, -43, 1
65, -29, 17
66, -33, 16
67, -23, 16
68, -21, 20
69, -18, 15
70, -21, 15
71, -35, 22
72, -28, 17
73, -31, 25
74, -42, 29
75, -41, 19
76, -20, 14
77, -15, 22
78, 1, 25
79, 15, 31
80, 12, 43
81, 31, 45
82, 23, 28
83, 26, 35
84, 14, 53
85, 2, 75
86, 16, 63
87, 20, 50
88, 39, 53
89, 37, 58
90, 45, 62
91, 60, 74
92, 55, 74
93, 41, 63
94, 42, 82
95, 43, 80
96, 47, 76
97, 30, 83
98, 32, 76
99, 19, 64
100, 10, 66
101, 14, 76
102, 23, 88
103, 27, 89
104, 33, 89
105, 24, 108
106, 0, 112
107, 6, 102
108, -1, 101
109, -17, 79
110, -25, 90
111, -24, 93
112, -23, 105
113, -44, 111
114, -43, 105
115, -46, 97
116, -37, 83
117, -41, 89
118, -42, 80
119, -41, 95
120, -54, 98
121, -58, 94
122, -55, 101
123, -60, 104
124, -64, 111
125, -43, 111
126, -42, 123
127, -40, 132
128, -47, 151
129, -29, 149
130, -6, 143
131, 0, 151
132, 0, 163
133, 9, 175
134, -14, 174
135, -19, 180
136, -21, 187
137, -12, 187
138, -5, 191
139, 0, 200
140, -3, 193
141, -14, 196
142, -20, 178
143, -5, 176
144, -19, 162
145, -24, 192
146, -36, 188
147, -66, 178
148, -59, 175
149, -51, 177
150, -41, 169
151, -53, 149
152, -48, 156
153, -61, 161
154, -49, 155
155, -32, 155
156, -35, 146
157, -48, 154
158, -47, 148
159, -50, 138
160, -58, 137
