# step, ring_center (x), ring_center (y)
0, 0, 0
1, -23, -1
2, 0, -1
3, 1, -10
4, -12, -16
5, 0, -20
6, -17, -34
7, -28, -11
8, -18, -26
9, -14, -37
10, -3, -28
11, 9, -27
12, -19, -30
13, -19, -14
14, -19, -25
15, -24, -41
16, -24, -28
17, -19, -51
18, -19, -35
19, -26, -46
20, -33, -51
21, -25, -50
22, 0, -79
23, 22, -79
24, 29, -79
25, 24, -89
26, 35, -97
27, 57, -92
28, 47, -108
29, 48, -108
30, 61, -104
31, 59, -100
32, 40, -115
33, 45, -114
34, 43, -106
35, 26, -92
36, 42, -66
37, 36, -67
38, 23, -65
39, 23, -46
40, 12, -48
41, 14, -42
42, 17, -25
43, 11, -12
44, 0, -4
45, -2, 4
46, 15, 5
47, 8, -2
48, 13, -1
49, 24, -1
50, 15, -2
51, 15, 3
52, 17, 0
53, 16, 1
54, 21, 15
55, 0, 0
56, -3, 10
57, 2, -2
58, -2, -18
59, 15, -12
60, 6, -7
61, 9, -19
62, 27, -6
63, 10, -20
64, 16, -5
65, 11, -42
66, 17, -39
67, 11, -45
68, 14, -45
69, 26, -43
70, 28, -39
71, 25, -44
72, 22, -43
73, 20, -51
74, 34, -44
75, 23, -38
76, 16, -29
77, 19, -24
78, 17, -20
79, 14, -37
80, 18, -48
81, -9, -41
82, -8, -40
83, 2, -25
84, -3, -37
85, -11, -32
86, -7, -19
87, -14, -10
88, -17, -31
89, -28, -32
90, -35, -42
91, -48, -38
92, -65, -24
93, -62, 5
94, -40, -7
95, -32, -5
96, -25, -12
97, -22, -4
98, -31, 4
99, -36, 6
100, -25, 2
101, -25, 23
102, -26, 31
103, -12, 24
104, -24, 27
105, -31, 29
106, -30, 23
107, -19, 21
108, -19, 3
109, -28, -3
110, -7, -8
111, 14, -2
112, 17, -1
113, 27, -1
114, 23, 18
115, 24, 10
116, 20, 5
117, 19, -6
118, 24, 0
119, 30, -4
120, 8, 9
121, 10, 18
122, 0, 7
123, -8, 13
124, -14, 14
125, -3, 22
126, -6, 9
127, 4, 5
128, 11, 12
129, 10, 2
130, -3, 6
131, -35, -4
132, -38, 2
133, -26, 0
134, -25, 23
135, -22, 14
136, -22, 1
137, -5, 0
138, -7, -16
139, -2, -3
140, 0, -14
141, -13, -4
142, -41, 1
143, -21, 4
144, -3, -11
145, 5, 4
146, 8, 0
147, 8, 14
148, -10, -4
149, -34, -27
150, -32, -5
151, -63, 4
152, -53, 18
153, -46, 14
154, -37, 11
155, -51, -5
156, -26, 10
157, -18, 26
158, -36, 21
159, -60, 29
160, -48, 44
