# step, ring_center (x), ring_center (y)
0, 0, 0
1, 16, -11
2, -5, -13
3, 9, 10
4, 8, 17
5, 3, 18
6, -3, 17
7, -4, 25
8, -17, 14
9, -24, 14
10, -27, 26
11, -10, 18
12, -8, 12
13, -16, 10
14, -24, 1
15, -5, 8
16, -5, 28
17, -15, 26
18, -12, 22
19, -30, 19
20, -34, 25
21, -44, 25
22, -44, 23
23, -52, 17
24, -58, 19
25, -56, 22
26, -53, 20
27, -48, 22
28, -43, 25
29, -33, 23
30, -35, 16
31, -37, 33
32, -35, 23
33, -18, 25
34, -24, 30
35, -23, 30
36, -29, 34
37, -34, 36
38, -35, 36
39, -30, 37
40, -37, 34
41, -30, 27
42, -28, 22
43, -20, 17
44, -25, 27
45, -28, 17
46, -35, 27
47, -32, 25
48, -28, 18
49, -30, 22
50, -18, 28
51, -20, 24
52, -19, 24
53, -27, 38
54, -22, 29
55, -21, 35
56, -42, 48
57, -41, 59
58, -50, 71
59, -44, 68
60, -40, 67
61, -23, 64
62, -33, 51
63, -22, 43
64, -23, 36
65, -26, 27
66, -16, 26
67, -41, 31
68, -29, 17
69, -48, 21
70, -34, 24
71, -38, 35
72, -31, 46
73, -45, 54
74, -44, 60
75, -41, 61
76, -52, 61
77, -54, 69
78, -54, 85
79, -40, 75
80, -37, 91
81, -36, 104
82, -43, 114
83, -45, 119
84, -26, 137
85, -29, 127
86, -37, 136
87, -34, 128
88, -38, 123
89, -42, 130
90, -32, 117
91, -38, 121
92, -31, 125
93, -30, 115
94, -13, 121
95, -10, 122
96, -9, 124
97, -2, 145
98, 8, 149
99, 33, 119
100, 29, 111
101, 49, 96
102, 68, 97
103, 57, 95
104, 53, 95
105, 69, 80
106, 54, 64
107, 53, 66
108, 69, 56
109, 52, 56
110, 59, 67
111, 51, 73
112, 57, 82
113, 62, 81
114, 41, 73
115, 55, 63
116, 60, 62
117, 59, 70
118, 63, 77
119, 49, 69
120, 43, 74
121, 41, 59
122, 43, 80
123, 37, 78
124, 44, 76
125, 34, 100
126, 35, 101
127, 46, 114
128, 48, 99
129, 28, 98
130, 15, 108
131, 3, 108
132, 3, 130
133, 2, 138
134, 6, 151
135, 17, 155
136, 22, 135
137, 43, 141
138, 27, 135
139, 43, 142
140, 36, 123
141, 32, 136
142, 12, 155
143, 9, 159
144, 9, 166
145, 12, 173
146, 23, 164
147, 36, 159
148, 22, 153
149, 24, 158
150, 23, 163
151, 22, 172
152, 34, 168
153, 33, 165
154, 38, 166
155, 32, 171
156, 47, 157
157, 44, 162
158, 50, 151
159, 57, 178
160, 43, 176
