# step, ring_center (x), ring_center (y)
0, 0, 0
1, -2, -3
2, 4, -5
3, 7, 18
4, 13, 14
5, 14, 16
6, 1, 20
7, 10, 18
8, 29, 8
9, 12, 25
10, 7, 35
11, 8, 35
12, 15, 51
13, 15, 49
14, 31, 50
15, 27, 38
16, 27, 38
17, 34, 34
18, 31, 14
19, 50, 10
20, 14, 10
21, -9, 17
22, -15, 16
23, -27, 11
24, -32, 20
25, -14, 31
26, -21, 24
27, -21, 38
28, -14, 31
29, -25, 24
30, -4, 39
31, 0, 41
32, -11, 33
33, -19, 34
34, -17, 27
35, -26, 35
36, -22, 42
37, -25, 33
38, -17, 18
39, -1, 1
40, 9, 3
41, 3, 7
42, 5, 16
43, -8, 20
44, 14, 27
45, 4, 16
46, -1, 24
47, 12, 8
48, 15, 2
49, 10, 2
50, 13, 9
51, 3, 25
52, -5, 19
53, -8, 27
54, -9, 20
55, 29, 37
56, 32, 24
57, 38, 21
58, 29, 18
59, 44, 18
60, 46, 12
61, 61, 10
62, 58, 8
63, 44, -5
64, 44, -14
65, 47, -15
66, 48, -5
67, 42, 0
68, 29, -8
69, 38, 10
70, 22, 1
71, 9, 1
72, 36, 7
73, 31, 7
74, 25, 0
75, 25, 20
76, 29, 15
77, 22, 20
78, 9, 34
79, 6, 23
80, -2, 10
81, -6, 17
82, 0, 8
83, 5, 15
84, 13, 16
85, 27, 35
86, 21, 24
87, 23, 25
88, 44, 37
89, 61, 54
90, 49, 48
91, 52, 75
92, 68, 78
93, 55, 82
94, 57, 94
95, 55, 94
96, 67, 81
97, 56, 87
98, 69, 93
99, 65, 90
100, 51, 106
101, 59, 95
102, 67, 88
103, 69, 86
104, 58, 86
105, 52, 88
106, 62, 94
107, 67, 88
108, 41, 73
109, 39, 89
110, 50, 93
111, 35, 99
112, 30, 89
113, 21, 85
114, 16, 86
115, 11, 112
116, 5, 86
117, 0, 84
118, -9, 90
119, -15, 71
120, -16, 83
121, -16, 77
122, -20, 75
123, 4, 78
124, 3, 81
125, 9, 79
126, 3, 88
127, 0, 95
128, 0, 104
129, 9, 115
130, -8, 95
131, -18, 100
132, -19, 92
133, -26, 97
134, -24, 91
135, -27, 98
136, -36, 102
137, -35, 107
138, -36, 117
139, -44, 120
140, -44, 121
141, -61, 140
142, -56, 142
143, -61, 143
144, -48, 154
145, -59, 143
146, -35, 142
147, -43, 130
148, -51, 132
149, -61, 144
150, -67, 151
151, -54, 142
152, -61, 145
153, -60, 135
154, -51, 141
155, -54, 141
156, -46, 127
157, -27, 126
158, -27, 106
159, -26, 122
160, -24, 95
