Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.019692,0.03506,0.045425,0,0,0,0.015011,2.1583E-06,-2.1182E-08,-1.1038E-08,4.9108E-06,9.9459E-08,4.807E-06,0,0,0,0,0,0,package://visual_smarticle_meshes/meshes/base_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://visual_smarticle_meshes/meshes/base_link.STL,,Case_3-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm_left,0.029707,3.4694E-17,0.018645,0,0,0,0.0039781,5.233E-07,-1.3235E-22,8.0821E-08,1.161E-06,7.2792E-23,6.4744E-07,0,0,0,0,0,0,package://visual_smarticle_meshes/meshes/arm_left.STL,0.25,0,0,1,0,0,0,0,0,0,package://visual_smarticle_meshes/meshes/arm_left.STL,,Half_Arm-2,left_arm_frame,Axis3,servo_left,revolute,0.040642,-0.044679,0.026742,0,0,0.24242,base_link,0,0,-1,0,0,0,0,,,,,,,,
arm_right,0.029707,1.3878E-17,0.018645,0,0,0,0.0039781,5.233E-07,-1.0092E-22,8.0821E-08,1.161E-06,-2.1765E-23,6.4744E-07,0,0,0,0,0,0,package://visual_smarticle_meshes/meshes/arm_right.STL,0,0,0.25,1,0,0,0,0,0,0,package://visual_smarticle_meshes/meshes/arm_right.STL,,Half_Arm-1,right_arm_frame,Axis2,servo_right,revolute,-0.0017576,-0.044679,0.026742,0,0,-3.1366,base_link,0,0,-1,0,0,0,0,,,,,,,,
